LineNo,UTC_Approx,TimeUS,LiftMax,BatVolt,ThLimit,ThrAvMx,FailFlags
11450,2023-01-20 10:50:24.820079,144867974,0.9295046,0.9565312,1,0.3015938,2
11481,2023-01-20 10:50:24.920062,144967956,0.929818,0.9567278,1,0.2940522,2
11514,2023-01-20 10:50:25.020075,145067963,0.9302509,0.9569994,1,0.2721423,2
11546,2023-01-20 10:50:25.120129,145167988,0.9308971,0.9574047,1,0.2680959,2
11580,2023-01-20 10:50:25.220123,145267960,0.9317533,0.9579415,1,0.2711653,2
11610,2023-01-20 10:50:25.320123,145367966,0.9324427,0.9583736,1,0.2637253,2
11643,2023-01-20 10:50:25.420112,145467957,0.9328982,0.958659,1,0.2613682,2
11675,2023-01-20 10:50:25.520169,145568001,0.9335955,0.9590957,1,0.2533122,2
11711,2023-01-20 10:50:25.620147,145667971,0.934158,0.9594479,1,0.2645978,2
11741,2023-01-20 10:50:25.720116,145767952,0.9347748,0.959834,1,0.2959755,2
11774,2023-01-20 10:50:25.820154,145868005,0.9350515,0.9600072,1,0.3275565,2
11806,2023-01-20 10:50:25.920080,145967955,0.9347671,0.9598292,1,0.3316815,2
11839,2023-01-20 10:50:26.020080,146067966,0.9344453,0.9596278,1,0.3093288,2
11871,2023-01-20 10:50:26.120128,146167977,0.9343336,0.9595579,1,0.3161754,2
11904,2023-01-20 10:50:26.220121,146267947,0.9343659,0.9595781,1,0.3979386,2
11934,2023-01-20 10:50:26.320092,146367954,0.9340213,0.9593623,1,0.3814553,2
11967,2023-01-20 10:50:26.420065,146467950,0.9334459,0.959002,1,0.3887397,2
11999,2023-01-20 10:50:26.520100,146567955,0.9330559,0.9587578,1,0.4153426,2
12035,2023-01-20 10:50:26.620140,146667972,0.9326947,0.9585315,1,0.4466088,2
12065,2023-01-20 10:50:26.720125,146767962,0.9321908,0.9582157,1,0.4557214,2
