LineNo,UTC_Approx,TimeUS,C15,C16,C17,C18
15895,2023-01-20 10:50:38.480389,158567999,0,0,0,0
15929,2023-01-20 10:50:38.580849,158668491,0,0,0,0
15962,2023-01-20 10:50:38.680321,158767973,0,0,0,0
15993,2023-01-20 10:50:38.780594,158868251,0,0,0,0
16028,2023-01-20 10:50:38.889154,158967990,0,0,0,0
16061,2023-01-20 10:50:39.000470,159068383,0,0,0,0
16093,2023-01-20 10:50:39.091133,159168011,0,0,0,0
16125,2023-01-20 10:50:39.182359,159268257,0,0,0,0
16157,2023-01-20 10:50:39.280322,159367993,0,0,0,0
16188,2023-01-20 10:50:39.380438,159468145,0,0,0,0
16222,2023-01-20 10:50:39.480253,159567980,0,0,0,0
16255,2023-01-20 10:50:39.580639,159668382,0,0,0,0
16288,2023-01-20 10:50:39.680251,159768044,0,0,0,0
16319,2023-01-20 10:50:39.780239,159868090,0,0,0,0
16353,2023-01-20 10:50:39.880122,159967980,0,0,0,0
16384,2023-01-20 10:50:39.980158,160068011,0,0,0,0
16418,2023-01-20 10:50:40.080216,160168024,0,0,0,0
16450,2023-01-20 10:50:40.180247,160268000,0,0,0,0
16482,2023-01-20 10:50:40.280262,160368045,0,0,0,0
16513,2023-01-20 10:50:40.380142,160467977,0,0,0,0
16547,2023-01-20 10:50:40.480152,160567987,0,0,0,0
16581,2023-01-20 10:50:40.580458,160668280,0,0,0,0
