LineNo,UTC_Approx,TimeUS,TPD,PD,DVD,TVD,VD,DAD,TAD,AD
162103,2023-01-20 10:58:02.252462,603269964,-55.56,-55.57422,0,0.01422363,-0.02582251,0,0.2024807,0.05465412
162133,2023-01-20 10:58:02.352444,603369968,-55.56,-55.58963,0,0.02963379,-0.02089904,0,0.2459314,0.131464
162167,2023-01-20 10:58:02.452403,603469950,-55.56,-55.60284,0,0.04284668,0.02847115,0,0.2542177,0.1504841
162199,2023-01-20 10:58:02.552407,603569978,-55.56,-55.61603,0,0.05603027,-0.01216792,0,0.2850892,0.08590031
162234,2023-01-20 10:58:02.652455,603670034,-55.56,-55.63166,0,0.07166015,-0.01157882,0,0.4000069,-0.1173038
162266,2023-01-20 10:58:02.752386,603769959,-55.56,-55.64705,0,0.08705078,-0.0007868661,0,0.4159699,0.09765434
162299,2023-01-20 10:58:02.852400,603869964,-55.56,-55.6593,0,0.09930176,0.07182238,0,0.3001956,0.2897739
162329,2023-01-20 10:58:02.952395,603969948,-55.56,-55.67131,0,0.1113086,0.0052153,0,0.4138576,-0.1662178
162363,2023-01-20 10:58:03.052413,604069955,-55.56,-55.68243,0,0.1224365,-0.03209755,0,0.5570306,0.1265545
162396,2023-01-20 10:58:03.152440,604169973,-55.56,-55.68995,0,0.1299463,-0.001166716,0,0.5023167,0.3517714
162429,2023-01-20 10:58:03.252438,604269966,-55.56,-55.69281,0,0.1328125,0.07163051,0,0.3628822,0.6846685
162459,2023-01-20 10:58:03.352485,604370012,-55.56,-55.69134,0,0.1313379,0.1357858,0,0.1863021,0.04747963
162493,2023-01-20 10:58:03.458319,604469946,-55.56,-55.69114,0,0.1311426,0.08818056,0,0.2322228,-0.1744404
162526,2023-01-20 10:58:03.569595,604569966,-55.56,-55.69094,0,0.1309424,0.06915968,0,0.2938153,-0.004743576
162562,2023-01-20 10:58:03.665988,604669973,-55.56,-55.68599,0,0.1259961,0.1188313,0,0.1830157,0.4982357
162594,2023-01-20 10:58:03.756763,604769951,-55.56,-55.67458,0,0.1145752,0.1360164,0,-0.05098798,0.198904
162627,2023-01-20 10:58:03.852371,604869966,-55.56,-55.66088,0,0.1008789,0.1327077,0,-0.1862388,0.05199146
162659,2023-01-20 10:58:03.952348,604969988,-55.56,-55.64806,0,0.08805664,0.166332,0,-0.2731644,0.05492401
162693,2023-01-20 10:58:04.052329,605069977,-55.56,-55.63517,0,0.0751709,0.163182,0,-0.348281,0.2363596
162726,2023-01-20 10:58:04.152359,605169980,-55.56,-55.62333,0,0.0633252,0.1163573,0,-0.395676,0.01956749
162760,2023-01-20 10:58:04.252364,605269974,-55.56,-55.61418,0,0.05418457,0.1048032,0,-0.3915416,-0.08552361
162790,2023-01-20 10:58:04.352357,605369970,-55.56,-55.60582,0,0.04582519,0.1259763,0,-0.3473727,-0.002334595
162824,2023-01-20 10:58:04.452331,605469952,-55.56,-55.59544,0,0.03544433,0.1135578,0,-0.3585225,-0.5755787
162856,2023-01-20 10:58:04.552337,605569970,-55.56,-55.58854,0,0.02853516,0.07015898,0,-0.2351476,-0.189744
162891,2023-01-20 10:58:04.652367,605670027,-55.56,-55.58469,0,0.02469238,0.06115994,0,-0.1718038,-0.2890291
162923,2023-01-20 10:58:04.752243,605769944,-55.56,-55.58308,0,0.02308105,0.02893533,0,-0.1313756,-0.1662102
162956,2023-01-20 10:58:04.852238,605869964,-55.56,-55.58449,0,0.0244873,0.007939702,0,-0.03514249,-0.2603779
162986,2023-01-20 10:58:04.952204,605969942,-55.56,-55.58704,0,0.0270459,0.03980053,0,0.005524325,-0.05079937
163020,2023-01-20 10:58:05.052207,606069944,-55.56,-55.58978,0,0.02977539,0.01137669,0,0.1120692,-0.304328
163053,2023-01-20 10:58:05.152258,606169981,-55.56,-55.59455,0,0.03455078,-0.02038397,0,0.2533404,0.03840828
163086,2023-01-20 10:58:05.252304,606270010,-55.56,-55.5957,0,0.03569824,-0.002510002,0,0.2462524,0.2703743
163116,2023-01-20 10:58:05.352282,606369968,-55.56,-55.59397,0,0.03396973,-0.02153429,0,0.1611759,0.3941774
163150,2023-01-20 10:58:05.452272,606469951,-55.56,-55.59109,0,0.03109375,0.04472214,0,0.05487308,0.2756424
163182,2023-01-20 10:58:05.552279,606569961,-55.56,-55.58896,0,0.02896484,0.008131973,0,-0.01978133,0.2049437
163217,2023-01-20 10:58:05.652267,606669975,-55.56,-55.58873,0,0.02873047,-0.001981711,0,0.0247243,-0.09781647
163250,2023-01-20 10:58:05.752206,606769961,-55.56,-55.58938,0,0.02937988,0.0339789,0,0.01921998,-0.2013998
163283,2023-01-20 10:58:05.852201,606869967,-55.56,-55.59273,0,0.03272949,0.02112989,0,0.09602872,-0.1473618
163313,2023-01-20 10:58:05.952246,606969989,-55.56,-55.59699,0,0.03699218,0.06143657,0,0.1175918,0.202033
163347,2023-01-20 10:58:06.052240,607069949,-55.56,-55.59935,0,0.03935547,0.08177608,0,0.03445164,0.1014423
163380,2023-01-20 10:58:06.152308,607169974,-55.56,-55.6005,0,0.04050293,0.07161316,0,-0.04296065,0.0250206
163413,2023-01-20 10:58:06.252316,607269969,-55.56,-55.603,0,0.04299805,0.06557582,0,-0.01387581,0.106432
163443,2023-01-20 10:58:06.352302,607369972,-55.56,-55.60615,0,0.04614746,0.05199026,0,0.04959957,-0.08653927
163477,2023-01-20 10:58:06.452273,607469952,-55.56,-55.61093,0,0.05092773,0.01382,0,0.1304863,-0.08443928
163509,2023-01-20 10:58:06.552329,607570011,-55.56,-55.61479,0,0.05479004,0.01204836,0,0.1470487,0.2381077
163544,2023-01-20 10:58:06.652286,607669971,-55.56,-55.61596,0,0.05595703,0.00570282,0,0.1270907,0.1392345
163625,2023-01-20 10:58:06.752261,607769951,-55.56,-55.61568,0,0.05567871,0.04856286,0,0.07202086,0.3050985
163658,2023-01-20 10:58:06.852261,607869960,-55.56,-55.61448,0,0.05447754,0.0803623,0,-0.06427661,0.3937187
163688,2023-01-20 10:58:06.952229,607969942,-55.56,-55.61246,0,0.05246582,0.05446925,0,-0.1577702,-0.1094208
163722,2023-01-20 10:58:07.052273,608069985,-55.56,-55.61417,0,0.0541748,0.02117153,0,-0.04978018,-0.2185488
163755,2023-01-20 10:58:07.152278,608169976,-55.56,-55.6197,0,0.05970215,0.0632114,0,0.05871988,-0.01065445
163788,2023-01-20 10:58:07.252326,608270011,-55.56,-55.62622,0,0.06622558,0.06324325,0,0.07256421,0.107254
163818,2023-01-20 10:58:07.352290,608369963,-55.56,-55.63193,0,0.07192871,0.07545074,0,-0.01254805,0.2398052
163852,2023-01-20 10:58:07.452270,608469942,-55.56,-55.63784,0,0.0778418,0.09752765,0,-0.04543716,-0.02497864
163884,2023-01-20 10:58:07.552285,608569964,-55.56,-55.64515,0,0.08514648,0.07351253,0,0.02650409,-0.2479486
163919,2023-01-20 10:58:07.652281,608669987,-55.56,-55.6531,0,0.09310059,0.09827621,0,0.05163367,0.1490602
163951,2023-01-20 10:58:07.752190,608769943,-55.56,-55.66121,0,0.1012109,0.1006938,0,0.06866901,0.4405107
163983,2023-01-20 10:58:07.852259,608870020,-55.56,-55.67046,0,0.110459,0.04629849,0,0.1751041,0.1254768
164014,2023-01-20 10:58:07.952210,608969945,-55.56,-55.67907,0,0.1190674,0.04653673,0,0.2565046,-0.01239014
164048,2023-01-20 10:58:08.052231,609069947,-55.56,-55.68826,0,0.1282617,0.0603039,0,0.3601829,0.2065649
164081,2023-01-20 10:58:08.152270,609169975,-55.56,-55.69343,0,0.1334326,0.08387853,0,0.2178448,0.6567297
164114,2023-01-20 10:58:08.252256,609269961,-55.56,-55.6923,0,0.1323047,0.1791616,0,-0.01822535,0.6715775
164144,2023-01-20 10:58:08.352265,609369979,-55.56,-55.68988,0,0.1298828,0.1296252,0,-0.130946,0.130702
164178,2023-01-20 10:58:08.452247,609469953,-55.56,-55.68967,0,0.1296729,0.1245929,0,-0.1110222,0.09641552
164210,2023-01-20 10:58:08.552323,609570005,-55.56,-55.68889,0,0.1288916,0.1416513,0,-0.1703983,-0.09516144
164245,2023-01-20 10:58:08.652298,609669980,-55.56,-55.69024,0,0.1302441,0.1572573,0,-0.08988906,-0.2130308
164277,2023-01-20 10:58:08.752242,609769943,-55.56,-55.69373,0,0.1337305,0.1030383,0,0.02821973,-0.1569338
164310,2023-01-20 10:58:08.852231,609869959,-55.56,-55.69804,0,0.1380371,0.1138409,0,0.06287938,-0.02196121
164342,2023-01-20 10:58:08.952189,609969950,-55.56,-55.69973,0,0.1397314,0.1476985,0,-0.006566519,-0.125329
164376,2023-01-20 10:58:09.052189,610069950,-55.56,-55.6995,0,0.1394971,0.1259862,0,0.04025502,0.057868
164409,2023-01-20 10:58:09.152294,610170023,-55.56,-55.69872,0,0.1387256,0.1054078,0,0.03753552,0.1886034
164442,2023-01-20 10:58:09.252305,610270008,-55.56,-55.69654,0,0.136543,0.1451652,0,-0.07741504,0.4502945
164473,2023-01-20 10:58:09.352306,610369987,-55.56,-55.69044,0,0.1304394,0.1879094,0,-0.2582806,-0.3369036
