LineNo,UTC_Approx,TimeUS,C,YC,YCS,Y0,Y1,Y2,Y3,Y4,W0,W1,W2,W3,W4
9035,2023-01-20 10:50:17.438910,137467008,0,161.2423,1.208995,161.5668,169.4196,223.0164,126.2022,154.9413,0.8748628,0.03470126,6.311847E-05,5.982489E-05,0.09031297
9067,2023-01-20 10:50:17.538911,137566998,0,158.4059,1.209294,158.7303,166.5837,220.1814,123.3637,152.1051,0.8748628,0.03470126,6.311847E-05,5.982489E-05,0.09031297
9101,2023-01-20 10:50:17.638915,137666995,0,155.2636,1.208892,155.586,163.4326,216.9845,120.2498,148.9683,0.8749733,0.03476185,6.259783E-05,5.889267E-05,0.09014346
9133,2023-01-20 10:50:17.738930,137767012,0,151.5047,1.209348,151.826,159.7082,213.2005,116.4958,145.2068,0.8749733,0.03476185,6.259783E-05,5.889267E-05,0.09014346
9167,2023-01-20 10:50:17.835450,137866999,0,147.8682,1.209318,148.1882,156.0655,209.5361,112.8725,141.5718,0.8750439,0.03481246,6.268953E-05,5.834915E-05,0.09002258
9197,2023-01-20 10:50:17.926548,137967004,0,144.2692,1.209605,144.5893,152.4647,205.9361,109.2759,137.9725,0.8750439,0.03481246,6.268953E-05,5.834915E-05,0.09002258
9230,2023-01-20 10:50:18.021482,138067027,0,140.6767,1.20974,140.9944,148.8644,202.3101,105.6935,134.3807,0.8751681,0.03491333,6.344689E-05,5.750336E-05,0.08979755
9261,2023-01-20 10:50:18.132253,138167002,0,137.1652,1.21003,137.483,145.3508,198.7979,102.1838,130.869,0.8751681,0.03491333,6.344689E-05,5.750336E-05,0.08979755
9296,2023-01-20 10:50:18.238871,138267001,0,133.7338,1.210297,134.0512,141.9169,195.3655,98.75159,127.4368,0.8751929,0.0349366,6.38347E-05,5.738978E-05,0.08974923
9326,2023-01-20 10:50:18.338922,138367012,0,130.1438,1.210586,130.4613,138.3245,191.7755,95.16318,123.8468,0.8751929,0.0349366,6.38347E-05,5.738978E-05,0.08974923
9359,2023-01-20 10:50:18.435470,138466999,0,126.7416,1.210868,127.0588,134.9191,188.369,91.76242,120.4445,0.875212,0.03495101,6.401914E-05,5.729083E-05,0.0897157
9391,2023-01-20 10:50:18.526576,138567002,0,123.5819,1.211151,123.8992,131.7573,185.2097,88.60362,117.2849,0.875212,0.03495101,6.401914E-05,5.729083E-05,0.0897157
9425,2023-01-20 10:50:18.619396,138667000,0,121.2702,1.211414,121.5872,129.4447,182.9033,86.28574,114.9718,0.8752295,0.03497311,6.45551E-05,5.724885E-05,0.08967568
9457,2023-01-20 10:50:18.719379,138767017,0,120.071,1.211709,120.388,128.2447,181.7042,85.08652,113.7726,0.8752295,0.03497311,6.45551E-05,5.724885E-05,0.08967568
9491,2023-01-20 10:50:18.819326,138866998,0,119.7718,1.211686,120.0863,127.942,181.385,84.7827,113.4719,0.875341,0.03508222,6.58127E-05,5.652625E-05,0.0894544
9523,2023-01-20 10:50:18.919290,138966998,0,120.0806,1.211985,120.3951,128.251,181.6936,85.09128,113.7807,0.875341,0.03508222,6.58127E-05,5.652625E-05,0.0894544
9556,2023-01-20 10:50:19.019273,139067003,0,120.5093,1.212046,120.8222,128.6772,182.1055,85.52003,114.209,0.8754128,0.03514867,6.647161E-05,5.604545E-05,0.08931601
9586,2023-01-20 10:50:19.119303,139166998,0,120.0578,1.212335,120.3707,128.2253,181.6544,85.06885,113.7577,0.8754128,0.03514867,6.647161E-05,5.604545E-05,0.08931601
9621,2023-01-20 10:50:19.219324,139266995,0,118.6562,1.212511,118.9671,126.8199,180.2374,83.66405,112.3549,0.8755036,0.03523866,6.752236E-05,5.545918E-05,0.08913483
9651,2023-01-20 10:50:19.319306,139367002,0,117.4345,1.212805,117.7454,125.5973,179.0161,82.44257,111.1333,0.8755036,0.03523866,6.752236E-05,5.545918E-05,0.08913483
9684,2023-01-20 10:50:19.419272,139466999,0,116.8255,1.213018,117.137,124.9888,178.4122,81.83362,110.5244,0.875483,0.03521801,6.734531E-05,5.561282E-05,0.08917616
9716,2023-01-20 10:50:19.519240,139567020,0,116.536,1.213315,116.8475,124.6991,178.1228,81.54408,110.2349,0.875483,0.03521801,6.734531E-05,5.561282E-05,0.08917616
9750,2023-01-20 10:50:19.619174,139666998,0,116.4505,1.213573,116.7637,124.6211,178.0831,81.43873,110.146,0.8753955,0.03515617,6.762303E-05,5.638125E-05,0.08932429
9782,2023-01-20 10:50:19.719173,139766999,0,116.5316,1.21387,116.8448,124.7022,178.1642,81.51981,110.2271,0.8753955,0.03515617,6.762303E-05,5.638125E-05,0.08932429
9816,2023-01-20 10:50:19.819166,139866997,0,116.8506,1.21397,117.165,125.0252,178.5054,81.83169,110.5449,0.8753399,0.03510997,6.750602E-05,5.683999E-05,0.08942588
9846,2023-01-20 10:50:19.919157,139967005,0,117.2702,1.21427,117.5845,125.4452,178.9246,82.25097,110.9644,0.8753399,0.03510997,6.750602E-05,5.683999E-05,0.08942588
9879,2023-01-20 10:50:20.019142,140067002,0,117.562,1.214105,117.8777,125.7453,179.2417,82.52779,111.2652,0.8752604,0.03500304,6.564715E-05,5.729658E-05,0.08961364
9909,2023-01-20 10:50:20.119149,140166999,0,117.6684,1.214397,117.984,125.8516,179.3481,82.6342,111.3715,0.8752604,0.03500304,6.564715E-05,5.729658E-05,0.08961364
9944,2023-01-20 10:50:20.219164,140266994,0,117.9006,1.214262,118.2206,126.0934,179.6392,82.85873,111.6031,0.8750567,0.03481797,6.427719E-05,5.883704E-05,0.09000221
9977,2023-01-20 10:50:20.319240,140367006,0,118.1401,1.214559,118.4602,126.3328,179.8787,83.09821,111.8426,0.8750567,0.03481797,6.427719E-05,5.883704E-05,0.09000221
10010,2023-01-20 10:50:20.419280,140466995,0,117.981,1.213854,118.3017,126.1742,179.7226,82.94241,111.6842,0.8750314,0.03478624,6.390012E-05,5.903613E-05,0.0900595
10042,2023-01-20 10:50:20.519280,140566999,0,117.8237,1.214151,118.1443,126.017,179.5651,82.78488,111.5269,0.8750314,0.03478624,6.390012E-05,5.903613E-05,0.0900595
10076,2023-01-20 10:50:20.619284,140667000,0,117.6442,1.212556,117.9638,125.8251,179.3094,82.65458,111.3565,0.8751143,0.03479438,6.218438E-05,5.819557E-05,0.08997101
10108,2023-01-20 10:50:20.719325,140767003,0,117.461,1.212848,117.7805,125.642,179.1265,82.47176,111.1733,0.8751143,0.03479438,6.218438E-05,5.819557E-05,0.08997101
10142,2023-01-20 10:50:20.819329,140866999,0,117.3073,1.210684,117.635,125.463,178.8436,82.49092,111.0423,0.8748503,0.03437292,5.40066E-05,5.930721E-05,0.09066352
10172,2023-01-20 10:50:20.919219,140967008,0,117.6896,1.210984,118.0173,125.8458,179.2255,82.873,111.4245,0.8748503,0.03437292,5.40066E-05,5.930721E-05,0.09066352
10205,2023-01-20 10:50:21.019128,141067002,0,118.2542,1.209878,118.5776,126.4063,179.7612,83.42284,111.9854,0.8750479,0.03456487,5.602661E-05,5.803411E-05,0.09027328
10235,2023-01-20 10:50:21.119177,141166996,0,118.6561,1.210178,118.9795,126.8085,180.1631,83.82476,112.3873,0.8750479,0.03456487,5.602661E-05,5.803411E-05,0.09027328
10270,2023-01-20 10:50:21.219234,141267013,0,118.911,1.209854,119.2351,127.0685,180.4476,84.06197,112.639,0.875012,0.03455092,5.65157E-05,5.841634E-05,0.0903221
10300,2023-01-20 10:50:21.319208,141367011,0,119.0732,1.210148,119.3973,127.2309,180.6097,84.22408,112.8012,0.875012,0.03455092,5.65157E-05,5.841634E-05,0.0903221
10333,2023-01-20 10:50:21.419179,141466995,0,119.3107,1.210303,119.637,127.4764,180.8955,84.44437,113.0359,0.8748941,0.03446313,5.639675E-05,5.937872E-05,0.09052686
10365,2023-01-20 10:50:21.519221,141567001,0,119.6274,1.210601,119.9538,127.7933,181.2123,84.76115,113.3526,0.8748941,0.03446313,5.639675E-05,5.937872E-05,0.09052686
10399,2023-01-20 10:50:21.619237,141667000,0,119.6165,1.210413,119.9461,127.7752,181.1576,84.80996,113.3538,0.8747789,0.03428085,5.305322E-05,5.986335E-05,0.09082739
10431,2023-01-20 10:50:21.719181,141767005,0,118.4265,1.210707,118.7561,126.5842,179.968,83.62029,112.1639,0.8747789,0.03428085,5.305322E-05,5.986335E-05,0.09082739
10465,2023-01-20 10:50:21.819121,141866998,0,115.1089,1.209811,115.4435,123.2512,176.5733,80.40543,108.8667,0.8745924,0.03398572,4.785712E-05,6.058307E-05,0.0913135
10495,2023-01-20 10:50:21.919116,141967006,0,109.9917,1.210096,110.3264,118.1307,171.4577,75.28797,103.7496,0.8745924,0.03398572,4.785712E-05,6.058307E-05,0.0913135
10528,2023-01-20 10:50:22.019107,142066998,0,103.6838,1.208287,104.0342,111.7935,165.0026,69.22986,97.49214,0.8739253,0.03312232,3.898939E-05,6.369573E-05,0.09284982
10558,2023-01-20 10:50:22.119158,142166999,0,96.85944,1.208573,97.20987,104.966,158.1812,62.40284,90.66798,0.8739253,0.03312232,3.898939E-05,6.369573E-05,0.09284982
