LineNo,UTC_Approx,TimeUS,C,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
11045,2023-01-20 10:50:23.619204,143667008,0,0.1,0.01,0.1,0.13,0,0.009959465,0.08909588,0.02049057,0,48,107327,0,0
11077,2023-01-20 10:50:23.719177,143766995,0,0.1,0.01,0.1,0.08,0,0.01002712,0.08909588,0.02049057,0,48,107327,0,0
11111,2023-01-20 10:50:23.819170,143867002,0,0.17,0,0.12,0.13,0,0.009954096,0.08909588,0.02049057,0,48,107327,0,0
11144,2023-01-20 10:50:23.919178,143967027,0,0.17,0,0.13,0.16,0,0.01002585,0.08909588,0.02049057,0,48,107327,0,0
11177,2023-01-20 10:50:24.019161,144067011,0,0.08,0,0.13,0.13,0,0.009774476,0.08909588,0.02049057,0,48,107327,0,0
11207,2023-01-20 10:50:24.119210,144166999,0,0.08,0,0.13,0.18,0,0.009723925,0.08909588,0.02049057,0,48,107327,0,0
11242,2023-01-20 10:50:24.219257,144267008,0,0.22,0,0.13,0.22,0,0.009553769,0.08909588,0.02049057,0,48,107327,0,0
11272,2023-01-20 10:50:24.319185,144366998,0,0.22,0,0.12,0.11,0,0.00958315,0.08909588,0.02049057,0,48,107327,0,0
11305,2023-01-20 10:50:24.419144,144466995,0,0.09,0,0.12,0.18,0,0.009480702,0.08909588,0.02049057,0,48,107327,0,0
11338,2023-01-20 10:50:24.519226,144567011,0,0.09,0,0.13,0.1,0,0.009543503,0.08909588,0.02049057,0,48,107327,0,0
11373,2023-01-20 10:50:24.619247,144666995,0,0.23,0.01,0.15,0.19,0,0.009356479,0.08909588,0.02049057,0,48,107327,0,0
11405,2023-01-20 10:50:24.719166,144766995,0,0.23,0.01,0.18,0.19,0,0.009286728,0.08909588,0.02049057,0,48,107327,0,0
11439,2023-01-20 10:50:24.819116,144867011,0,0.11,0,0.17,0.23,0,0.009137386,0.08909588,0.02049057,0,48,107327,0,0
11470,2023-01-20 10:50:24.919108,144967002,0,0.11,0,0.15,0.23,0,0.009197965,0.08909588,0.02049057,0,48,107327,0,0
11503,2023-01-20 10:50:25.019109,145066998,0,0.13,0.01,0.13,0.16,0,0.009024878,0.08909588,0.02049057,0,48,107327,0,0
11533,2023-01-20 10:50:25.119153,145167012,0,0.13,0.01,0.13,0.2,0,0.008556646,0.08909588,0.02049057,0,48,107327,0,0
11569,2023-01-20 10:50:25.219168,145267005,0,0.06,0,0.11,0.24,0,0.007986847,0.08909588,0.02049057,0,48,107327,0,0
11599,2023-01-20 10:50:25.319158,145367001,0,0.06,0,0.1,0.21,0,0.008088677,0.08909588,0.02049057,0,48,107327,0,0
11632,2023-01-20 10:50:25.419162,145467007,0,0.5,0,0.1,0.21,0,0.008871512,0.08909588,0.02049057,0,48,107327,0,0
11664,2023-01-20 10:50:25.519176,145567008,0,0.5,0,0.02,0.26,0,0.009921012,0.08909588,0.02049057,0,48,107327,0,0
11698,2023-01-20 10:50:25.619174,145666997,0,0.03,0,0.05,0.2,0,0.01019908,0.08909588,0.02049057,0,48,107327,0,0
11730,2023-01-20 10:50:25.719171,145767007,0,0.03,0,0.03,0.21,0,0.01001845,0.08909588,0.02049057,0,48,107327,0,0
11763,2023-01-20 10:50:25.819156,145867007,0,0.05,0,0.02,0.21,0,0.01008076,0.08909588,0.02049057,0,48,107327,0,0
11795,2023-01-20 10:50:25.919123,145966998,0,0.05,0,0.03,0.07,0,0.01038061,0.08909588,0.02049057,0,48,107327,0,0
11828,2023-01-20 10:50:26.019112,146066999,0,0.1,0,0.05,0.06,0,0.01067741,0.08909588,0.02049057,0,48,107327,0,0
11858,2023-01-20 10:50:26.119153,146167002,0,0.1,0,0.04,0.05,0,0.0106364,0.08909588,0.02049057,0,48,107327,0,0
11893,2023-01-20 10:50:26.219173,146266999,0,0.04,0,0.05,0.15,0,0.01034341,0.08909588,0.02049057,0,48,107327,0,0
11923,2023-01-20 10:50:26.319138,146367000,0,0.04,0,0.1,0.05,0,0.009829856,0.08909588,0.02049057,0,48,107327,0,0
11956,2023-01-20 10:50:26.419113,146466998,0,0.07,0,0.12,0.13,0,0.009541831,0.08909588,0.02049057,0,48,107327,0,0
11988,2023-01-20 10:50:26.519163,146567018,0,0.07,0,0.08,0.1,0,0.009324591,0.08909588,0.02049057,0,48,107327,0,0
12022,2023-01-20 10:50:26.619179,146667011,0,0.17,0,0.07,0.09,0,0.009017707,0.08909588,0.02049057,0,48,107327,0,0
12054,2023-01-20 10:50:26.719165,146767002,0,0.17,0,0.04,0.17,0,0.008876806,0.08909588,0.02049057,0,48,107327,0,0
12087,2023-01-20 10:50:26.819160,146867006,0,0.08,0,0.03,0.28,0,0.008670586,0.08909588,0.02049057,0,48,107327,0,0
12118,2023-01-20 10:50:26.919128,146966998,0,0.08,0,0.01,0.31,0,0.00861316,0.08909588,0.02049057,0,48,107327,0,0
12151,2023-01-20 10:50:27.019115,147067003,0,0.15,0,0.01,0.3,0,0.008550609,0.08909588,0.02049057,0,48,107327,0,0
12181,2023-01-20 10:50:27.119123,147167002,0,0.15,0,0,0.22,0,0.008569497,0.08909588,0.02049057,0,48,107327,0,0
12216,2023-01-20 10:50:27.219127,147266995,0,0.18,0,0.02,0.2,0,0.008532603,0.08909588,0.02049057,0,48,107327,0,0
12246,2023-01-20 10:50:27.319146,147367000,0,0.18,0,0.01,0.13,0,0.008624515,0.08909588,0.02049057,0,48,107327,0,0
12279,2023-01-20 10:50:27.417458,147467020,0,0.07,0,0,0.17,0,0.008638885,0.08909588,0.02049057,0,48,107327,0,0
12311,2023-01-20 10:50:27.508476,147567008,0,0.07,0,0,0.14,0,0.008695835,0.08909588,0.02049057,0,48,107327,0,0
12345,2023-01-20 10:50:27.599494,147666995,0,0.07,0,0,0.33,0,0.00873524,0.08909588,0.02049057,0,48,107327,0,0
12377,2023-01-20 10:50:27.699444,147767002,0,0.09,0,0,0.25,0,0.008689147,0.08909588,0.02049057,0,48,107327,0,0
12410,2023-01-20 10:50:27.799435,147867001,0,0.09,0,0,0.12,0,0.008751544,0.08909588,0.02049057,0,48,107327,0,0
12442,2023-01-20 10:50:27.899368,147966998,0,0.16,0,0,0.19,0,0.008743843,0.08909588,0.02049057,0,48,107327,0,0
12475,2023-01-20 10:50:27.999305,148066999,0,0.16,0,0,0.15,0,0.008841871,0.08909588,0.02049057,0,48,107327,0,0
12505,2023-01-20 10:50:28.099333,148167002,0,0.26,0,0,0.11,0,0.00884594,0.08909588,0.02049057,0,48,107327,0,0
12540,2023-01-20 10:50:28.199356,148267000,0,0.26,0,0,0.14,0,0.008917862,0.08909588,0.02049057,0,48,107327,0,0
12571,2023-01-20 10:50:28.299409,148367028,0,0.09,0.01,0,0.16,0,0.008885403,0.08909588,0.02049057,0,48,107327,0,0
12604,2023-01-20 10:50:28.399425,148467019,0,0.09,0.01,0.02,0.1,0,0.008951607,0.08909588,0.02049057,0,48,107327,0,0
12636,2023-01-20 10:50:28.510302,148566998,0,0.3,0.01,0.01,0.12,0,0.00892598,0.08909588,0.02049057,0,48,107327,0,0
12670,2023-01-20 10:50:28.617436,148666995,0,0.15,0.01,0,0.1,0,0.008910798,0.08909588,0.02049057,0,48,107327,0,0
