LineNo,UTC_Approx,TimeUS,C,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11
66544,2023-01-20 10:53:12.759214,313167000,0,0.0001070856,7.959668E-06,8.597018E-06,8.554933E-06,0.04661043,0.04789918,0.008277464,0.5737319,0.5784342,0.1292296,4.245146E-11,4.234704E-11
66710,2023-01-20 10:53:13.259261,313666996,0,0.0001068615,7.787268E-06,8.472944E-06,8.461498E-06,0.04466576,0.04569344,0.008230268,0.5533925,0.5575491,0.1290015,4.222721E-11,4.21289E-11
66870,2023-01-20 10:53:13.759160,314167000,0,0.0001061624,7.927707E-06,8.524979E-06,9.052883E-06,0.04617206,0.04719982,0.008265064,0.5746993,0.5792444,0.1293318,4.236937E-11,4.226949E-11
67040,2023-01-20 10:53:14.259259,314667005,0,0.0001067551,7.761843E-06,8.372416E-06,8.303488E-06,0.04431123,0.04527719,0.008216865,0.5542471,0.558238,0.1290282,4.217048E-11,4.207554E-11
67200,2023-01-20 10:53:14.759166,315167000,0,0.0001071577,7.865722E-06,8.490656E-06,7.766305E-06,0.04592137,0.04698276,0.008252497,0.5753656,0.5797291,0.1293633,4.232743E-11,4.222971E-11
67366,2023-01-20 10:53:15.259163,315666996,0,0.0001066352,7.707476E-06,8.320124E-06,8.074087E-06,0.04381141,0.04482108,0.008194021,0.5529985,0.5567942,0.1289495,4.210531E-11,4.201191E-11
67527,2023-01-20 10:53:15.759161,316167005,0,0.0001069992,7.806159E-06,8.43025E-06,7.552344E-06,0.04524431,0.04633733,0.008222945,0.5722787,0.576448,0.1291606,4.224843E-11,4.215165E-11
67693,2023-01-20 10:53:16.259218,316666996,0,0.0001064885,7.685979E-06,8.303958E-06,7.825673E-06,0.04360916,0.04460292,0.008181309,0.5522082,0.5559182,0.1288587,4.209062E-11,4.199636E-11
67854,2023-01-20 10:53:16.759246,317166999,0,0.0001068175,7.793318E-06,8.420724E-06,7.337322E-06,0.04513219,0.04618051,0.008214027,0.5717962,0.5758871,0.1290779,4.224287E-11,4.214491E-11
68020,2023-01-20 10:53:17.259163,317667001,0,0.0001064346,7.640544E-06,8.252059E-06,7.485741E-06,0.04294195,0.04388697,0.008153939,0.5487888,0.5523314,0.1285858,4.202871E-11,4.19342E-11
