LineNo,UTC_Approx,TimeUS,IMU,VibeX,VibeY,VibeZ,Clip
171101,2023-01-20 10:58:29.412685,630470007,0,20.69876,9.70459,17.95633,0
171133,2023-01-20 10:58:29.512656,630569979,0,21.10825,9.330759,17.26296,0
171169,2023-01-20 10:58:29.612679,630670004,0,19.0118,12.93771,16.70534,0
171200,2023-01-20 10:58:29.712633,630769965,0,15.79377,17.11365,15.71832,0
171234,2023-01-20 10:58:29.812809,630870149,0,13.62339,18.60867,14.38429,0
171264,2023-01-20 10:58:29.912619,630969977,0,13.30546,15.63856,13.38343,0
171297,2023-01-20 10:58:30.012631,631070005,0,16.22758,11.35223,12.94904,0
171331,2023-01-20 10:58:30.112620,631169991,0,18.72,14.91506,11.6148,0
171364,2023-01-20 10:58:30.212600,631269966,0,20.8964,14.65609,14.02248,0
171394,2023-01-20 10:58:30.312643,631369981,0,23.2933,12.03717,17.0443,0
171428,2023-01-20 10:58:30.412656,631469971,0,23.47771,10.21612,18.82846,0
171460,2023-01-20 10:58:30.512677,631569993,0,22.29541,14.05701,16.36456,0
171495,2023-01-20 10:58:30.612677,631669998,0,19.71817,15.29454,13.14963,0
171526,2023-01-20 10:58:30.712648,631770002,0,18.12826,11.31115,13.95472,0
171560,2023-01-20 10:58:30.811467,631869980,0,18.06491,9.591372,14.25073,0
171590,2023-01-20 10:58:30.902482,631969965,0,14.58381,14.38261,13.25208,0
171621,2023-01-20 10:58:30.993504,632069958,0,15.2667,16.81863,14.98657,0
171657,2023-01-20 10:58:31.092919,632170000,0,18.046,14.20937,16.89804,0
171688,2023-01-20 10:58:31.192900,632269967,0,21.42868,12.23279,17.9639,0
171720,2023-01-20 10:58:31.292964,632370030,0,20.16785,13.34219,18.11735,0
171752,2023-01-20 10:58:31.392895,632469962,0,19.64527,15.07966,17.03953,0
171786,2023-01-20 10:58:31.492911,632569986,0,19.28165,15.44171,16.77347,0
171820,2023-01-20 10:58:31.592891,632669974,0,19.59323,14.30057,17.68192,0
171853,2023-01-20 10:58:31.692873,632769965,0,20.36232,12.04366,17.73968,0
171885,2023-01-20 10:58:31.792890,632869989,0,20.93254,10.85941,17.99351,0
171917,2023-01-20 10:58:31.892809,632969963,0,19.92253,12.31528,17.24912,0
171948,2023-01-20 10:58:31.992789,633070001,0,18.96211,12.92831,17.04689,0
