LineNo,UTC_Approx,TimeUS,C,Cnt,IMUMin,IMUMax,EKFMin,EKFMax,AngMin,AngMax,VMin,VMax
214779,2023-01-20 11:00:41.731704,763070048,0,408,0.0025,0.0025,0.01248486,0.01251286,0.01103581,0.01304257,0.01103583,0.01304254
216449,2023-01-20 11:00:46.811853,768170019,0,408,0.0025,0.0025,0.01248523,0.01251309,0.0110359,0.01304263,0.01103588,0.01304265
218166,2023-01-20 11:00:51.911618,773270008,0,408,0.0025,0.0025,0.01248545,0.01251309,0.0110359,0.01304267,0.01103591,0.01304265
219833,2023-01-20 11:00:56.991761,778370011,0,408,0.0025,0.0025,0.01248545,0.01251304,0.01103593,0.01304265,0.01103594,0.01304268
221501,2023-01-20 11:01:02.091633,783470024,0,408,0.0025,0.0025,0.01248548,0.01251306,0.01103596,0.0130427,0.01103594,0.01304271
223217,2023-01-20 11:01:07.171755,788570012,0,408,0.0025,0.0025,0.01248548,0.01251307,0.011036,0.01304278,0.01103597,0.01304275
224880,2023-01-20 11:01:12.271696,793670012,0,408,0.0025,0.0025,0.01248557,0.01251313,0.01103602,0.01304278,0.01103605,0.01304279
226538,2023-01-20 11:01:17.351261,798770011,0,408,0.0025,0.0025,0.01248558,0.01251314,0.01103606,0.01304281,0.01103603,0.01304282
228204,2023-01-20 11:01:22.451264,803870024,0,408,0.0025,0.0025,0.01248558,0.01251322,0.01103604,0.01304281,0.01103605,0.01304282
229867,2023-01-20 11:01:27.531677,808970010,0,408,0.0025,0.0025,0.0124856,0.0125132,0.01103609,0.01304279,0.01103608,0.01304283
231582,2023-01-20 11:01:32.631683,814070011,0,408,0.0025,0.0025,0.01248558,0.01251335,0.01103609,0.01304288,0.01103606,0.01304285
233250,2023-01-20 11:01:37.711661,819170014,0,408,0.0025,0.0025,0.01248568,0.01251328,0.0110361,0.01304285,0.01103607,0.01304282
234919,2023-01-20 11:01:42.811675,824270010,0,408,0.0025,0.0025,0.01248553,0.0125134,0.01103607,0.01304286,0.01103608,0.01304286
236585,2023-01-20 11:01:47.891678,829370013,0,408,0.0025,0.0025,0.01248583,0.01251342,0.01103608,0.01304286,0.01103612,0.01304287
238304,2023-01-20 11:01:52.991662,834470020,0,408,0.0025,0.0025,0.01248592,0.01251343,0.01103606,0.01304279,0.01103606,0.01304283
239973,2023-01-20 11:01:58.071653,839570006,0,408,0.0025,0.0025,0.01248595,0.01251344,0.01103607,0.01304284,0.01103604,0.01304281
241643,2023-01-20 11:02:03.171707,844670035,0,408,0.0025,0.0025,0.01248589,0.01251349,0.01103605,0.01304279,0.01103608,0.01304283
243360,2023-01-20 11:02:08.251299,849770014,0,408,0.0025,0.0025,0.01248568,0.01251357,0.01103603,0.01304276,0.01103603,0.0130428
245027,2023-01-20 11:02:13.337933,854870021,0,408,0.0025,0.0025,0.01248591,0.01251354,0.01103599,0.01304275,0.01103601,0.01304277
246693,2023-01-20 11:02:18.431704,859970035,0,408,0.0025,0.0025,0.01248587,0.0125136,0.01103597,0.01304272,0.01103599,0.01304271
248413,2023-01-20 11:02:23.524173,865070014,0,408,0.0025,0.0025,0.01248623,0.01251359,0.01103596,0.01304268,0.01103596,0.01304271
250081,2023-01-20 11:02:28.611659,870170009,0,408,0.0025,0.0025,0.01248572,0.01251367,0.01103593,0.01304267,0.01103594,0.01304269
251748,2023-01-20 11:02:33.691731,875270011,0,408,0.0025,0.0025,0.01248594,0.01251363,0.01103592,0.01304265,0.01103593,0.01304267
253414,2023-01-20 11:02:38.791693,880370029,0,408,0.0025,0.0025,0.012486,0.01251355,0.0110359,0.01304264,0.01103592,0.01304264
255135,2023-01-20 11:02:43.871669,885470009,0,408,0.0025,0.0025,0.01248596,0.01251389,0.01103589,0.01304261,0.01103585,0.01304256
256803,2023-01-20 11:02:48.971655,890570018,0,408,0.0025,0.0025,0.01248614,0.01251353,0.01103582,0.0130426,0.01103584,0.01304255
258475,2023-01-20 11:02:54.051280,895670015,0,408,0.0025,0.0025,0.01248591,0.01251363,0.01103581,0.01304253,0.01103583,0.01304254
260187,2023-01-20 11:02:59.151242,900770006,0,408,0.0025,0.0025,0.01248571,0.01251366,0.01103581,0.01304252,0.01103577,0.01304247
261851,2023-01-20 11:03:04.231667,905870007,0,408,0.0025,0.0025,0.01248592,0.01251353,0.01103575,0.01304245,0.01103577,0.01304247
263508,2023-01-20 11:03:09.331679,910970014,0,408,0.0025,0.0025,0.01248598,0.0125137,0.01103576,0.01304245,0.01103577,0.01304247
265174,2023-01-20 11:03:14.411645,916070015,0,408,0.0025,0.0025,0.01248635,0.01251362,0.0110357,0.01304239,0.01103572,0.01304241
266825,2023-01-20 11:03:19.511631,921170007,0,408,0.0025,0.0025,0.01248613,0.01251354,0.01103566,0.01304233,0.01103567,0.01304234
268478,2023-01-20 11:03:24.591707,926270019,0,408,0.0025,0.0025,0.01248607,0.01251353,0.01103566,0.01304234,0.01103563,0.01304236
270135,2023-01-20 11:03:29.691726,931370025,0,408,0.0025,0.0025,0.01248583,0.01251346,0.01103562,0.0130423,0.01103559,0.01304231
271847,2023-01-20 11:03:34.771704,936470012,0,408,0.0025,0.0025,0.01248579,0.01251348,0.01103559,0.01304231,0.01103559,0.01304227
273517,2023-01-20 11:03:39.871677,941570009,0,408,0.0025,0.0025,0.01248566,0.01251345,0.01103559,0.01304228,0.01103557,0.01304227
275186,2023-01-20 11:03:44.951179,946670012,0,408,0.0025,0.0025,0.01248548,0.01251338,0.01103561,0.01304229,0.01103558,0.01304225
276854,2023-01-20 11:03:50.035306,951770015,0,408,0.0025,0.0025,0.01248553,0.01251312,0.01103562,0.0130423,0.0110356,0.01304227
278572,2023-01-20 11:03:55.131701,956870037,0,408,0.0025,0.0025,0.01248542,0.01251321,0.01103564,0.01304233,0.01103561,0.0130423
280240,2023-01-20 11:04:00.231690,961970008,0,408,0.0025,0.0025,0.01248542,0.01251297,0.01103566,0.01304234,0.01103563,0.01304231
281908,2023-01-20 11:04:05.311667,967070014,0,408,0.0025,0.0025,0.01248533,0.01251323,0.01103567,0.01304235,0.01103569,0.01304238
283616,2023-01-20 11:04:10.392631,972170012,0,408,0.0025,0.0025,0.01248548,0.012513,0.01103567,0.01304235,0.0110357,0.01304239
285267,2023-01-20 11:04:15.491709,977270012,0,408,0.0025,0.0025,0.0124855,0.01251305,0.01103568,0.01304243,0.01103571,0.0130424
286917,2023-01-20 11:04:20.590760,982370011,0,408,0.0025,0.0025,0.01248554,0.0125131,0.01103574,0.01304243,0.01103571,0.0130424
288572,2023-01-20 11:04:25.671696,987470017,0,408,0.0025,0.0025,0.01248554,0.01251327,0.01103575,0.01304244,0.01103577,0.01304247
290227,2023-01-20 11:04:30.751315,992570012,0,408,0.0025,0.0025,0.01248565,0.01251332,0.01103575,0.01304244,0.01103577,0.01304247
291884,2023-01-20 11:04:35.851255,997670011,0,408,0.0025,0.0025,0.0124857,0.01251339,0.01103575,0.01304244,0.01103577,0.01304246
293537,2023-01-20 11:04:40.931642,1002770008,0,408,0.0025,0.0025,0.01248601,0.01251336,0.01103575,0.01304244,0.01103577,0.01304247
295192,2023-01-20 11:04:46.031631,1007870012,0,408,0.0025,0.0025,0.01248574,0.0125133,0.01103575,0.01304245,0.01103577,0.01304246
296840,2023-01-20 11:04:51.111632,1012970014,0,408,0.0025,0.0025,0.0124858,0.01251349,0.01103575,0.01304245,0.01103571,0.0130424
298495,2023-01-20 11:04:56.211670,1018070016,0,408,0.0025,0.0025,0.01248578,0.01251341,0.01103575,0.01304245,0.01103572,0.01304241
300148,2023-01-20 11:05:01.291665,1023170013,0,408,0.0025,0.0025,0.01248563,0.01251339,0.01103575,0.01304245,0.01103572,0.01304241
301641,2023-01-20 11:05:06.391982,1028270008,0,408,0.0025,0.0025,0.01248568,0.01251316,0.01103575,0.01304245,0.01103572,0.01304242
303036,2023-01-20 11:05:11.471943,1033369999,0,408,0.0025,0.0025,0.01248561,0.01251312,0.01103575,0.01304245,0.01103573,0.01304242
304430,2023-01-20 11:05:16.556253,1038470000,0,408,0.0025,0.0025,0.01248557,0.01251312,0.01103576,0.01304245,0.01103573,0.01304243
