LineNo,UTC_Approx,TimeUS,chan,txp,rxp,rxdp,flags,ss,tf
89907,2023-01-20 10:54:23.672159,384219999,2,28971,468,0,6,0,8
90236,2023-01-20 10:54:24.672236,385220033,2,29054,469,0,6,0,8
90612,2023-01-20 10:54:25.674681,386222483,2,29141,470,0,6,0,8
90938,2023-01-20 10:54:26.677205,387224986,2,29224,471,0,6,0,8
91265,2023-01-20 10:54:27.666919,388227848,2,29308,472,0,6,0,8
91591,2023-01-20 10:54:28.662326,389229969,2,29391,473,0,6,0,8
91920,2023-01-20 10:54:29.665167,390232969,2,29476,474,0,6,0,8
92246,2023-01-20 10:54:30.667225,391234996,2,29559,475,0,6,0,8
92573,2023-01-20 10:54:31.669787,392237525,2,29642,476,0,6,0,8
92900,2023-01-20 10:54:32.672542,393240318,2,29726,477,0,6,0,8
93226,2023-01-20 10:54:33.674749,394242493,2,29809,478,0,6,0,8
93556,2023-01-20 10:54:34.677277,395245021,2,29893,479,0,6,0,8
93882,2023-01-20 10:54:35.679700,396247535,2,29976,480,0,6,0,8
94210,2023-01-20 10:54:36.662416,397249993,2,30060,481,0,6,0,8
94537,2023-01-20 10:54:37.665139,398252829,2,30143,482,0,6,0,8
94864,2023-01-20 10:54:38.667207,399254952,2,30227,483,0,6,0,8
95192,2023-01-20 10:54:39.667275,400255019,2,30311,484,0,6,0,8
95519,2023-01-20 10:54:40.669693,401257467,2,30395,485,0,6,0,8
95897,2023-01-20 10:54:41.672156,402259993,2,30480,486,0,6,0,8
96224,2023-01-20 10:54:42.672238,403260011,2,30564,487,0,6,0,8
96553,2023-01-20 10:54:43.674749,404262569,2,30647,488,0,6,0,8
96884,2023-01-20 10:54:44.677663,405265458,2,30730,489,0,6,0,8
97210,2023-01-20 10:54:45.659947,406267553,2,30814,490,0,6,0,8
97559,2023-01-20 10:54:46.674772,407269972,2,30897,491,0,6,0,8
97886,2023-01-20 10:54:47.664807,408272501,2,30981,492,0,6,0,8
98212,2023-01-20 10:54:48.667302,409274981,2,31064,493,0,6,0,8
98541,2023-01-20 10:54:49.670078,410277828,2,31149,494,0,6,0,8
98867,2023-01-20 10:54:50.672199,411279983,2,31232,495,0,6,0,8
99195,2023-01-20 10:54:51.674744,412282491,2,31316,496,0,6,0,8
99521,2023-01-20 10:54:52.677217,413285003,2,31399,497,0,6,0,8
99848,2023-01-20 10:54:53.679818,414287549,2,31483,498,0,6,0,8
100177,2023-01-20 10:54:54.682539,415290323,2,31566,499,0,6,0,8
100505,2023-01-20 10:54:55.684724,416292463,2,31650,500,0,6,0,8
100832,2023-01-20 10:54:56.667040,417294994,2,31733,501,0,6,0,8
101159,2023-01-20 10:54:57.666946,418295005,2,31817,502,0,6,0,8
101534,2023-01-20 10:54:58.669425,419297505,2,31900,503,0,6,0,8
101862,2023-01-20 10:54:59.671960,420300020,2,31984,504,0,6,0,8
102189,2023-01-20 10:55:00.676915,421304980,2,32068,505,0,6,0,8
102516,2023-01-20 10:55:01.676947,422305005,2,32151,506,0,6,0,8
102843,2023-01-20 10:55:02.679494,423307555,2,32236,507,0,6,0,8
103169,2023-01-20 10:55:03.681942,424310005,2,32319,508,0,6,0,8
103498,2023-01-20 10:55:04.676914,425312516,2,32403,509,0,6,0,8
103824,2023-01-20 10:55:05.687415,426315457,2,32492,510,0,6,0,8
104151,2023-01-20 10:55:06.669844,427317509,2,32580,511,0,6,0,8
104478,2023-01-20 10:55:07.672254,428320008,2,32665,512,0,6,0,8
104805,2023-01-20 10:55:08.674696,429322487,2,32752,513,0,6,0,8
105133,2023-01-20 10:55:09.677264,430325025,2,32836,514,0,6,0,8
105460,2023-01-20 10:55:10.680011,431327848,2,32920,515,0,6,0,8
105786,2023-01-20 10:55:11.682213,432329970,2,33003,516,0,6,0,8
106117,2023-01-20 10:55:12.685164,433332984,2,33089,517,0,6,0,8
106443,2023-01-20 10:55:13.687250,434334987,2,33172,518,0,6,0,8
106772,2023-01-20 10:55:14.687203,435335033,2,33255,519,0,6,0,8
107148,2023-01-20 10:55:15.669845,436337504,2,33339,520,0,6,0,8
107474,2023-01-20 10:55:16.672529,437340318,2,33422,521,0,6,0,8
107802,2023-01-20 10:55:17.674747,438342489,2,33506,522,0,6,0,8
108127,2023-01-20 10:55:18.677234,439345034,2,33589,523,0,6,0,8
108456,2023-01-20 10:55:19.679825,440347572,2,33674,524,0,6,0,8
108782,2023-01-20 10:55:20.682187,441350002,2,33757,525,0,6,0,8
109109,2023-01-20 10:55:21.682273,442350016,2,33841,526,0,6,0,8
109436,2023-01-20 10:55:22.684981,443352731,2,33924,527,0,6,0,8
109763,2023-01-20 10:55:23.687188,444354977,2,34008,528,0,6,0,8
110092,2023-01-20 10:55:24.679369,445355027,2,34091,529,0,6,0,8
110419,2023-01-20 10:55:25.669790,446357508,2,34175,530,0,6,0,8
110745,2023-01-20 10:55:26.672290,447360004,2,34258,531,0,6,0,8
111074,2023-01-20 10:55:27.674860,448362591,2,34341,532,0,6,0,8
111402,2023-01-20 10:55:28.677691,449365453,2,34425,533,0,6,0,8
111731,2023-01-20 10:55:29.679787,450367571,2,34512,534,0,6,0,8
112077,2023-01-20 10:55:30.682223,451369989,2,34595,535,0,6,0,8
112401,2023-01-20 10:55:31.682304,452370049,2,34678,536,0,6,0,8
112727,2023-01-20 10:55:32.684732,453372500,2,34761,537,0,6,0,8
113053,2023-01-20 10:55:33.687298,454375036,2,34854,538,0,6,0,8
113381,2023-01-20 10:55:34.670220,455377801,2,34940,539,0,6,0,8
113705,2023-01-20 10:55:35.672324,456380004,2,35023,540,0,6,0,8
114030,2023-01-20 10:55:36.674726,457382523,2,35106,541,0,6,0,8
114356,2023-01-20 10:55:37.677158,458384996,2,35190,542,0,6,0,8
114728,2023-01-20 10:55:38.677218,459385010,2,35273,543,0,6,0,8
115054,2023-01-20 10:55:39.679740,460387569,2,35357,544,0,6,0,8
115381,2023-01-20 10:55:40.682494,461390323,2,35443,545,0,6,0,8
115706,2023-01-20 10:55:41.684682,462392540,2,35527,546,0,6,0,8
116031,2023-01-20 10:55:42.687215,463395002,2,35610,547,0,6,0,8
116362,2023-01-20 10:55:43.679382,464395442,2,35700,548,0,6,0,8
116690,2023-01-20 10:55:44.669910,465397882,2,35783,549,0,6,0,8
117014,2023-01-20 10:55:45.670272,466398343,2,35866,550,0,6,0,8
117341,2023-01-20 10:55:46.669733,467400398,2,35950,551,0,6,0,8
117668,2023-01-20 10:55:47.670189,468401160,2,36033,552,0,6,0,8
117994,2023-01-20 10:55:48.672177,469403150,2,36116,553,0,6,0,8
118323,2023-01-20 10:55:49.674668,470406016,2,36201,554,0,6,0,8
118648,2023-01-20 10:55:50.677192,471408541,2,36284,555,0,6,0,8
118975,2023-01-20 10:55:51.676955,472411411,2,36368,556,0,6,0,8
119302,2023-01-20 10:55:52.679801,473413936,2,36451,557,0,6,0,8
119629,2023-01-20 10:55:53.679774,474416487,2,36535,558,0,6,0,8
119959,2023-01-20 10:55:54.682174,475418867,2,36618,559,0,6,0,8
120286,2023-01-20 10:55:55.684725,476421428,2,36702,560,0,6,0,8
120612,2023-01-20 10:55:56.687320,477424141,2,36788,561,0,6,0,8
