LineNo,UTC_Approx,TimeUS,RDes,R,ROut,PDes,P,POut,YDes,Y,YOut,ADes,A,AOut
6055,2023-01-20 10:50:08.241972,128266939,1.122719,7.78591,-0.01693326,13.54099,14.38708,0.01252675,11.20329,6.798782,0.02348627,40.91607,-2.558422,0.3423726
6085,2023-01-20 10:50:08.342360,128367285,0.5932758,4.086741,-0.003121158,7.27588,13.0077,0.01335965,7.990413,9.373989,0.00848262,40.663,11.09695,0.3399628
6118,2023-01-20 10:50:08.442047,128466951,0.9080524,0.8002213,0.02626905,-3.100726,1.546146,0.01129819,4.394164,8.706623,-0.005592422,37.52422,6.693268,0.3392388
6150,2023-01-20 10:50:08.542027,128566937,1.570987,-3.747272,0.05546375,-8.923217,-8.259204,0.03086068,2.021276,4.87415,-0.01092536,15.03401,0.8066177,0.3442182
6184,2023-01-20 10:50:08.642038,128666956,-1.676438,-4.163425,0.05854743,-8.503579,-6.492042,0.008814042,1.045926,2.131098,-0.009877115,9.346622,7.23753,0.3410185
6216,2023-01-20 10:50:08.742020,128766946,-3.902082,-9.606538,0.07363514,-7.875229,-9.543177,0.02094737,1.167475,-0.9921697,-0.004571944,7.80459,11.82508,0.3409815
6250,2023-01-20 10:50:08.842088,128866978,-6.570381,-5.166684,0.02398381,-4.478713,-4.195767,0.007011408,2.749204,-4.15139,0.006515818,2.555701,2.808094,0.3440202
6283,2023-01-20 10:50:08.942143,128966935,-6.833525,-7.262804,0.005787818,-3.441409,3.702433,-0.03082303,4.991406,-4.565998,0.01726797,3.918426,23.9706,0.333991
6316,2023-01-20 10:50:09.042222,129066941,-1.246198,-5.439793,0.03051737,-1.918771,3.358366,-0.01283757,6.789907,-2.684917,0.02271839,-3.472689,3.38583,0.3287932
6346,2023-01-20 10:50:09.142256,129166936,3.614498,-4.852937,0.07012972,3.402477,3.938887,0.02328057,6.834023,2.611801,0.01873137,-19.52916,-21.18568,0.3319508
6381,2023-01-20 10:50:09.242220,129266954,6.165087,-4.956672,0.08806449,-2.259778,10.73856,-0.04344905,5.021441,3.198277,0.007470767,-29.6973,12.33864,0.3307454
6411,2023-01-20 10:50:09.342345,129367259,9.044222,0.0411665,0.06014806,11.60368,16.17958,-0.03178144,3.021323,5.044387,-0.002418803,-60.32267,5.212498,0.3164947
6444,2023-01-20 10:50:09.442000,129467536,11.05787,6.375947,0.03026277,10.87085,24.25082,-0.073768,0.1983505,6.060651,-0.01432002,-83.25285,-53.57647,0.3092863
6476,2023-01-20 10:50:09.540866,129567622,10.61147,7.907831,0.03271378,-0.6770613,15.48059,-0.06796287,-3.78737,8.200499,-0.03094281,-78.8293,-65.91587,0.3120343
6510,2023-01-20 10:50:09.640124,129667611,5.417176,11.17736,-0.009625599,-10.4319,3.206756,-0.03839404,-8.145181,9.134615,-0.04786636,-72.33896,-55.7476,0.312887
6542,2023-01-20 10:50:09.740129,129767617,2.970778,1.099632,0.04226533,-15.01747,-12.508,0.03146065,-11.0116,7.37706,-0.05504,-74.4109,-45.97673,0.3056765
6576,2023-01-20 10:50:09.840189,129867687,0.5506736,1.871071,0.02864829,-11.3735,-5.507913,-0.00320068,-13.0296,6.230361,-0.05911006,-69.1154,-60.68182,0.3061952
6607,2023-01-20 10:50:09.940111,129967631,-1.810136,-1.364716,0.03542716,-10.80449,-2.630998,-0.01639593,-14.13167,2.966115,-0.05948888,-60.2711,-63.54513,0.3094191
6640,2023-01-20 10:50:10.040111,130067634,0.8555526,0.4672414,0.01776987,-11.26911,-5.980508,0.01191887,-14.69482,2.754941,-0.05697592,-49.61642,-61.62033,0.312505
6670,2023-01-20 10:50:10.140181,130167679,1.972528,5.968991,-0.007565171,-10.65543,-7.091019,-0.02574161,-15.70902,3.676607,-0.05997247,-46.38136,-45.81413,0.3100555
