LineNo,UTC_Approx,TimeUS,Active,NumPts,MaxPts,Action,N,E,D
30968,2023-01-20 10:51:24.401162,204568941,1,59,300,2,58.92323,257.0626,-40.03781
30969,2023-01-20 10:51:24.401176,204568955,1,59,300,2,59.54631,259.3155,-40.28201
30970,2023-01-20 10:51:24.401189,204568968,1,59,300,2,60.22106,261.5732,-40.52304
30971,2023-01-20 10:51:24.401202,204568981,1,59,300,2,60.73598,263.823,-40.7897
30972,2023-01-20 10:51:24.401220,204568999,1,59,300,2,61.07613,266.0264,-41.04418
30973,2023-01-20 10:51:24.401248,204569027,1,59,300,2,61.4425,268.2263,-41.27122
30974,2023-01-20 10:51:24.401262,204569041,1,59,300,2,61.88644,270.4678,-41.50093
30975,2023-01-20 10:51:24.401275,204569054,1,59,300,2,62.39256,272.6804,-41.75999
30976,2023-01-20 10:51:24.401288,204569067,1,59,300,2,62.98917,274.9279,-42.02853
30977,2023-01-20 10:51:24.401302,204569081,1,59,300,2,63.60439,277.1793,-42.29184
30978,2023-01-20 10:51:24.401315,204569094,1,59,300,2,64.30197,279.4483,-42.54181
30979,2023-01-20 10:51:24.401328,204569107,1,59,300,2,64.98598,281.7294,-42.7781
30980,2023-01-20 10:51:24.401342,204569121,1,59,300,2,65.65585,283.9996,-42.98889
30981,2023-01-20 10:51:24.401355,204569134,1,59,300,2,66.28165,286.2558,-43.17492
30982,2023-01-20 10:51:24.401368,204569147,1,59,300,2,66.86838,288.5439,-43.36455
30983,2023-01-20 10:51:24.401432,204569211,1,59,300,2,67.31454,290.8231,-43.57752
30984,2023-01-20 10:51:24.401445,204569224,1,59,300,2,67.87294,293.085,-43.77153
30985,2023-01-20 10:51:24.401458,204569237,1,59,300,2,68.45138,295.3516,-43.98491
30986,2023-01-20 10:51:24.401472,204569251,1,59,300,2,69.05402,297.6525,-44.20964
30987,2023-01-20 10:51:24.401485,204569264,1,59,300,2,69.6309,299.9142,-44.42585
30988,2023-01-20 10:51:24.401511,204569290,1,59,300,2,70.21897,302.1419,-44.61948
30989,2023-01-20 10:51:24.401524,204569303,1,59,300,2,70.86558,304.3496,-44.82873
30990,2023-01-20 10:51:24.401538,204569317,1,59,300,2,71.85028,308.5484,-45.27181
