LineNo,UTC_Approx,TimeUS,Vcc,VServo,Flags,AccFlags,Safety,MTemp,MVolt,MVmin,MVmax
11200,2023-01-20 10:50:24.114650,144162441,0,0,4,4,6,0,0,0,0
11235,2023-01-20 10:50:24.214691,144262439,0,0,4,4,6,0,0,0,0
11265,2023-01-20 10:50:24.314659,144362470,0,0,4,4,6,0,0,0,0
11298,2023-01-20 10:50:24.414599,144462453,0,0,4,4,6,0,0,0,0
11328,2023-01-20 10:50:24.514673,144562461,0,0,4,4,6,0,0,0,0
11366,2023-01-20 10:50:24.614710,144662454,0,0,4,4,6,0,0,0,0
11398,2023-01-20 10:50:24.714638,144762463,0,0,4,4,6,0,0,0,0
11432,2023-01-20 10:50:24.814593,144862488,0,0,4,4,6,0,0,0,0
11463,2023-01-20 10:50:24.914559,144962453,0,0,4,4,6,0,0,0,0
11496,2023-01-20 10:50:25.014590,145062480,0,0,4,4,6,0,0,0,0
11526,2023-01-20 10:50:25.114624,145162485,0,0,4,4,6,0,0,0,0
11562,2023-01-20 10:50:25.214637,145262474,0,0,4,4,6,0,0,0,0
11592,2023-01-20 10:50:25.314652,145362495,0,0,4,4,6,0,0,0,0
11625,2023-01-20 10:50:25.414675,145462521,0,0,4,4,6,0,0,0,0
11655,2023-01-20 10:50:25.514642,145562475,0,0,4,4,6,0,0,0,0
11691,2023-01-20 10:50:25.614649,145662472,0,0,4,4,6,0,0,0,0
11723,2023-01-20 10:50:25.714616,145762451,0,0,4,4,6,0,0,0,0
11756,2023-01-20 10:50:25.814621,145862471,0,0,4,4,6,0,0,0,0
11788,2023-01-20 10:50:25.914587,145962460,0,0,4,4,6,0,0,0,0
11821,2023-01-20 10:50:26.014591,146062480,0,0,4,4,6,0,0,0,0
11851,2023-01-20 10:50:26.114616,146162467,0,0,4,4,6,0,0,0,0
11886,2023-01-20 10:50:26.214654,146262478,0,0,4,4,6,0,0,0,0
11916,2023-01-20 10:50:26.314628,146362488,0,0,4,4,6,0,0,0,0
11949,2023-01-20 10:50:26.414593,146462479,0,0,4,4,6,0,0,0,0
11979,2023-01-20 10:50:26.514608,146562465,0,0,4,4,6,0,0,0,0
12015,2023-01-20 10:50:26.614627,146662459,0,0,4,4,6,0,0,0,0
12047,2023-01-20 10:50:26.714631,146762468,0,0,4,4,6,0,0,0,0
12080,2023-01-20 10:50:26.814635,146862480,0,0,4,4,6,0,0,0,0
12111,2023-01-20 10:50:26.914589,146962458,0,0,4,4,6,0,0,0,0
12144,2023-01-20 10:50:27.014606,147062495,0,0,4,4,6,0,0,0,0
12174,2023-01-20 10:50:27.114611,147162490,0,0,4,4,6,0,0,0,0
12209,2023-01-20 10:50:27.214610,147262479,0,0,4,4,6,0,0,0,0
12239,2023-01-20 10:50:27.314637,147362491,0,0,4,4,6,0,0,0,0
12272,2023-01-20 10:50:27.413311,147462465,0,0,4,4,6,0,0,0,0
12302,2023-01-20 10:50:27.504333,147562456,0,0,4,4,6,0,0,0,0
12335,2023-01-20 10:50:27.595367,147662462,0,0,4,4,6,0,0,0,0
12370,2023-01-20 10:50:27.694925,147762483,0,0,4,4,6,0,0,0,0
12401,2023-01-20 10:50:27.794922,147862488,0,0,4,4,6,0,0,0,0
12435,2023-01-20 10:50:27.894889,147962516,0,0,4,4,6,0,0,0,0
12466,2023-01-20 10:50:27.994793,148062484,0,0,4,4,6,0,0,0,0
12498,2023-01-20 10:50:28.094813,148162483,0,0,4,4,6,0,0,0,0
12531,2023-01-20 10:50:28.194834,148262479,0,0,4,4,6,0,0,0,0
12564,2023-01-20 10:50:28.294862,148362482,0,0,4,4,6,0,0,0,0
12595,2023-01-20 10:50:28.394911,148462506,0,0,4,4,6,0,0,0,0
12627,2023-01-20 10:50:28.505264,148562458,0,0,4,4,6,0,0,0,0
12662,2023-01-20 10:50:28.613312,148662463,0,0,4,4,6,0,0,0,0
