LineNo,UTC_Approx,TimeUS,chan,txp,rxp,rxdp,flags,ss,tf
95747,2023-01-20 11:13:31.282213,446136594,2,33498,541,0,6,0,0
96074,2023-01-20 11:13:32.284713,447139111,2,33582,542,0,6,0,0
96399,2023-01-20 11:13:33.287184,448141557,2,33665,543,0,6,0,0
96726,2023-01-20 11:13:34.292149,449146546,2,33749,544,0,6,0,0
97053,2023-01-20 11:13:35.294720,450149095,2,33836,545,0,6,0,0
97379,2023-01-20 11:13:36.277357,451151553,2,33919,546,0,6,0,0
97703,2023-01-20 11:13:37.279818,452154090,2,34002,547,0,6,0,0
98027,2023-01-20 11:13:38.282434,453156815,2,34085,548,0,6,0,0
98356,2023-01-20 11:13:39.285116,454159475,2,34171,549,0,6,0,0
98679,2023-01-20 11:13:40.287207,455161600,2,34254,550,0,6,0,0
99007,2023-01-20 11:13:41.289704,456164078,2,34338,551,0,6,0,0
99331,2023-01-20 11:13:42.292204,457166590,2,34421,552,0,6,0,0
99656,2023-01-20 11:13:43.294979,458169380,2,34504,553,0,6,0,0
99982,2023-01-20 11:13:44.297183,459171552,2,34588,554,0,6,0,0
100311,2023-01-20 11:13:45.290625,460174080,2,34677,555,0,6,0,0
100638,2023-01-20 11:13:46.282088,461176573,2,34760,556,0,6,0,0
100962,2023-01-20 11:13:47.284532,462179055,2,34843,557,0,6,0,0
101286,2023-01-20 11:13:48.287251,463181879,2,34926,558,0,6,0,0
101617,2023-01-20 11:13:49.289381,464184026,2,35014,559,0,6,0,0
101942,2023-01-20 11:13:50.291930,465186557,2,35097,560,0,6,0,0
102313,2023-01-20 11:13:51.294404,466189050,2,35180,561,0,6,0,0
102640,2023-01-20 11:13:52.296959,467191574,2,35264,562,0,6,0,0
102969,2023-01-20 11:13:53.299940,468194574,2,35347,563,0,6,0,0
103298,2023-01-20 11:13:54.302091,469196712,2,35430,564,0,6,0,0
103649,2023-01-20 11:13:55.284847,470199041,2,35515,565,0,6,0,0
103977,2023-01-20 11:13:56.287391,471201550,2,35603,566,0,6,0,0
104304,2023-01-20 11:13:57.289708,472204073,2,35691,567,0,6,0,0
104629,2023-01-20 11:13:58.292478,473206848,2,35774,568,0,6,0,0
104958,2023-01-20 11:13:59.294694,474209057,2,35858,569,0,6,0,0
105285,2023-01-20 11:14:00.297246,475211613,2,35941,570,0,6,0,0
105614,2023-01-20 11:14:01.299786,476214154,2,36025,571,0,6,0,0
105941,2023-01-20 11:14:02.302216,477216586,2,36108,572,0,6,0,0
106268,2023-01-20 11:14:03.304985,478219370,2,36192,573,0,6,0,0
106594,2023-01-20 11:14:04.307183,479221552,2,36278,574,0,6,0,0
106922,2023-01-20 11:14:05.299780,480224076,2,36363,575,0,6,0,0
107250,2023-01-20 11:14:06.292266,481226634,2,36446,576,0,6,0,0
107577,2023-01-20 11:14:07.294644,482229048,2,36530,577,0,6,0,0
107952,2023-01-20 11:14:08.297660,483232038,2,36613,578,0,6,0,0
108279,2023-01-20 11:14:09.299668,484234072,2,36696,579,0,6,0,0
108607,2023-01-20 11:14:10.302240,485236604,2,36780,580,0,6,0,0
108935,2023-01-20 11:14:11.304703,486239099,2,36863,581,0,6,0,0
109261,2023-01-20 11:14:12.307201,487241579,2,36947,582,0,6,0,0
