LineNo,UTC_Approx,TimeUS,Id,Value
140488,2023-01-20 11:15:46.960076,582094461,7,4203896
140815,2023-01-20 11:15:47.960078,583094450,7,4203896
141141,2023-01-20 11:15:48.960075,584094456,7,4203896
141471,2023-01-20 11:15:49.960098,585094451,7,4203896
141799,2023-01-20 11:15:50.940254,586094447,7,4203896
142127,2023-01-20 11:15:51.955632,587094448,7,4203896
142452,2023-01-20 11:15:52.940071,588094443,7,4203896
142779,2023-01-20 11:15:53.940077,589094439,7,4203896
143105,2023-01-20 11:15:54.940089,590094453,7,4203896
143434,2023-01-20 11:15:55.940041,591094443,7,4203896
143761,2023-01-20 11:15:56.940135,592094496,7,4203896
144088,2023-01-20 11:15:57.940056,593094444,7,4203896
144463,2023-01-20 11:15:58.940134,594094496,7,4203896
144790,2023-01-20 11:15:59.927451,595094445,7,4203896
145119,2023-01-20 11:16:00.920107,596094448,7,4203896
145446,2023-01-20 11:16:01.920060,597094447,7,4203896
145773,2023-01-20 11:16:02.920084,598094439,7,4203896
146098,2023-01-20 11:16:03.920068,599094454,7,4203896
146425,2023-01-20 11:16:04.920097,600094450,7,4203896
146753,2023-01-20 11:16:05.920089,601094447,7,4203896
147081,2023-01-20 11:16:06.920083,602094445,7,4203896
147407,2023-01-20 11:16:07.920090,603094455,7,4203896
147734,2023-01-20 11:16:08.900002,604094452,7,4203896
148061,2023-01-20 11:16:09.899943,605094445,7,4203896
148389,2023-01-20 11:16:10.899862,606094452,7,4203896
148716,2023-01-20 11:16:11.899903,607094498,7,4203896
149042,2023-01-20 11:16:12.899858,608094463,7,4203896
149369,2023-01-20 11:16:13.899886,609094495,7,4203896
149695,2023-01-20 11:16:14.899853,610094462,7,4203896
150073,2023-01-20 11:16:15.899828,611094446,7,4203896
150400,2023-01-20 11:16:16.899834,612094461,7,4203896
150727,2023-01-20 11:16:17.899830,613094450,7,4203896
151052,2023-01-20 11:16:18.880251,614094446,7,4203896
151380,2023-01-20 11:16:19.880237,615094458,7,4203896
151710,2023-01-20 11:16:20.880092,616094449,7,4203896
152038,2023-01-20 11:16:21.880066,617094447,7,4203896
152364,2023-01-20 11:16:22.880095,618094452,7,4203896
152691,2023-01-20 11:16:23.880064,619094447,7,4203896
153017,2023-01-20 11:16:24.880086,620094448,7,4203896
153346,2023-01-20 11:16:25.880100,621094450,7,4203896
153672,2023-01-20 11:16:26.880113,622094491,7,4203896
153999,2023-01-20 11:16:27.872898,623094441,7,4203896
154326,2023-01-20 11:16:28.860350,624094487,7,4203896
154652,2023-01-20 11:16:29.860105,625094450,7,4203896
154981,2023-01-20 11:16:30.860116,626094451,7,4203896
155307,2023-01-20 11:16:31.860065,627094439,7,4203896
155684,2023-01-20 11:16:32.860055,628094437,7,4203896
156010,2023-01-20 11:16:33.860072,629094438,7,4203896
156337,2023-01-20 11:16:34.860037,630094430,7,4203896
156665,2023-01-20 11:16:35.860078,631094438,7,4203896
156992,2023-01-20 11:16:36.860064,632094434,7,4203896
157319,2023-01-20 11:16:37.840316,633094477,7,4203896
157645,2023-01-20 11:16:38.854593,634094437,7,4203896
157972,2023-01-20 11:16:39.840167,635094431,7,4203896
158300,2023-01-20 11:16:40.840060,636094428,7,4203896
158627,2023-01-20 11:16:41.840110,637094479,7,4203896
158954,2023-01-20 11:16:42.840049,638094423,7,4203896
