LineNo,UTC_Approx,TimeUS,C,Q1,Q2,Q3,Q4
230190,2023-01-20 11:20:18.481734,854196083,0,0.9588656,0.03358847,-0.1099664,0.2595304
230223,2023-01-20 11:20:18.581751,854296119,0,0.9586778,0.03393158,-0.1135303,0.2586436
230255,2023-01-20 11:20:18.681712,854396068,0,0.9584675,0.03365278,-0.1177673,0.2575625
230287,2023-01-20 11:20:18.781765,854496102,0,0.9581883,0.03416646,-0.1212997,0.2568932
230320,2023-01-20 11:20:18.881731,854596071,0,0.9578996,0.03481721,-0.1217556,0.2576658
230351,2023-01-20 11:20:18.981732,854696081,0,0.95744,0.03367332,-0.1223143,0.2592568
230385,2023-01-20 11:20:19.081730,854796086,0,0.9567018,0.03359868,-0.125502,0.2604653
230416,2023-01-20 11:20:19.181728,854896091,0,0.9559731,0.03294497,-0.1274837,0.2622557
230448,2023-01-20 11:20:19.281704,854996068,0,0.9552541,0.03296334,-0.1290806,0.2640857
230482,2023-01-20 11:20:19.381757,855096120,0,0.9545092,0.03237953,-0.1320864,0.2653618
230515,2023-01-20 11:20:19.481694,855196075,0,0.9543764,0.02927919,-0.1338946,0.2652939
230549,2023-01-20 11:20:19.581690,855296093,0,0.9538306,0.02329107,-0.1392942,0.2650695
230581,2023-01-20 11:20:19.681776,855396086,0,0.9534008,0.01738994,-0.1441865,0.2644519
230613,2023-01-20 11:20:19.781924,855496115,0,0.9533637,0.01427926,-0.1455114,0.2640461
230645,2023-01-20 11:20:19.881807,855596071,0,0.9530314,0.0138158,-0.1487002,0.2634933
230676,2023-01-20 11:20:19.981731,855696110,0,0.952839,0.01425456,-0.1504098,0.2631952
230711,2023-01-20 11:20:20.081693,855796078,0,0.9528844,0.01499411,-0.1496989,0.2633949
230742,2023-01-20 11:20:20.181723,855896090,0,0.9530567,0.01381935,-0.1482643,0.2636472
230774,2023-01-20 11:20:20.281714,855996077,0,0.9531155,0.01448011,-0.1453505,0.2650178
230808,2023-01-20 11:20:20.381747,856096108,0,0.9526475,0.01389031,-0.1482067,0.2651502
230841,2023-01-20 11:20:20.481679,856196077,0,0.9526434,0.01121846,-0.14946,0.2645873
230877,2023-01-20 11:20:20.581642,856296085,0,0.9529101,0.009917723,-0.150362,0.2631642
230909,2023-01-20 11:20:20.681660,856396080,0,0.9533207,0.01147223,-0.1502803,0.2616562
230941,2023-01-20 11:20:20.781697,856496079,0,0.953869,0.0117514,-0.1499064,0.2598539
230973,2023-01-20 11:20:20.881701,856596068,0,0.9544448,0.01344476,-0.1478097,0.2588565
231004,2023-01-20 11:20:20.981729,856696086,0,0.9550123,0.01409651,-0.1458449,0.2578416
231041,2023-01-20 11:20:21.081714,856796075,0,0.955673,0.01446443,-0.1416161,0.2577303
231072,2023-01-20 11:20:21.181720,856896089,0,0.9561424,0.01307492,-0.1404982,0.2566733
231104,2023-01-20 11:20:21.281714,856996078,0,0.9567517,0.01216033,-0.1395346,0.2549675
231138,2023-01-20 11:20:21.381728,857096085,0,0.957382,0.01036679,-0.1373852,0.253846
231171,2023-01-20 11:20:21.481698,857196074,0,0.9580491,0.009826732,-0.13442,0.2529361
231205,2023-01-20 11:20:21.581679,857296080,0,0.9584568,0.009645714,-0.1343906,0.2514096
231237,2023-01-20 11:20:21.681687,857396080,0,0.9588218,0.01033294,-0.1319451,0.2512858
231269,2023-01-20 11:20:21.781696,857496075,0,0.9591149,0.01182714,-0.1285341,0.2518687
231301,2023-01-20 11:20:21.881708,857596075,0,0.9596382,0.01302069,-0.1238318,0.2521723
231332,2023-01-20 11:20:21.981723,857696079,0,0.9596612,0.01260518,-0.1233838,0.252325
231367,2023-01-20 11:20:22.081717,857796074,0,0.959648,0.01150201,-0.1244428,0.2519076
231398,2023-01-20 11:20:22.181707,857896067,0,0.9598097,0.009178148,-0.1244246,0.2513957
231430,2023-01-20 11:20:22.281718,857996079,0,0.960492,0.009488818,-0.1209702,0.2504623
231464,2023-01-20 11:20:22.381711,858096072,0,0.9612824,0.01267766,-0.1188078,0.2483148
231497,2023-01-20 11:20:22.481676,858196074,0,0.9618337,0.01752327,-0.1155171,0.2474364
231531,2023-01-20 11:20:22.581641,858296085,0,0.9620156,0.01996693,-0.1136894,0.2473903
