LineNo,UTC_Approx,TimeUS,RMSRollP,RMSRollD,RMSPitchP,RMSPitchD,RMSYaw
7660,2023-01-20 11:09:04.302589,178597254,0.02336284,0.0201965,0.01480024,0.02430268,0.0590025
7695,2023-01-20 11:09:04.402698,178697340,0.01988891,0.01854649,0.01293878,0.02300989,0.05118438
7725,2023-01-20 11:09:04.502702,178797360,0.01819829,0.01979316,0.01286884,0.02618855,0.0426017
7758,2023-01-20 11:09:04.602638,178897312,0.01664378,0.02116196,0.0124691,0.02760184,0.03500876
7788,2023-01-20 11:09:04.702606,178997255,0.01528843,0.02254544,0.01087765,0.02356517,0.03026187
7823,2023-01-20 11:09:04.802703,179097329,0.01569466,0.02146266,0.01251252,0.02241213,0.02860532
7855,2023-01-20 11:09:04.902698,179197360,0.01400118,0.02131705,0.01261705,0.02246945,0.0272838
7888,2023-01-20 11:09:05.002638,179297335,0.01313206,0.02387654,0.01514104,0.02737815,0.02453593
7918,2023-01-20 11:09:05.102573,179397247,0.01517624,0.02323247,0.02508891,0.03268825,0.02092901
7953,2023-01-20 11:09:05.202711,179497363,0.01390352,0.02165431,0.02216729,0.03217502,0.01756312
7983,2023-01-20 11:09:05.302675,179597312,0.01215569,0.0203422,0.02115221,0.029739,0.01453095
8019,2023-01-20 11:09:05.402732,179697357,0.01115559,0.01843052,0.02091322,0.02577361,0.01254274
8051,2023-01-20 11:09:05.502631,179797313,0.01111309,0.01634135,0.02158533,0.0221515,0.0147481
8084,2023-01-20 11:09:05.602601,179897335,0.01119193,0.01486783,0.01899147,0.0208352,0.01854474
8114,2023-01-20 11:09:05.702694,179997368,0.009848632,0.01378666,0.0157482,0.01835812,0.0352289
8149,2023-01-20 11:09:05.802694,180097310,0.008260572,0.01239416,0.01361124,0.0180563,0.06717481
8181,2023-01-20 11:09:05.902688,180197344,0.008267472,0.01394601,0.01186679,0.01611182,0.08631946
8214,2023-01-20 11:09:06.002625,180297320,0.008895071,0.01430429,0.01033326,0.01410151,0.08569756
8244,2023-01-20 11:09:06.102660,180397346,0.007493617,0.01240888,0.01027968,0.01472941,0.07901076
8279,2023-01-20 11:09:06.202660,180497337,0.008638092,0.01110568,0.009862904,0.01722846,0.07135967
8309,2023-01-20 11:09:06.302629,180597309,0.01582426,0.01160412,0.01314759,0.02050961,0.06242587
8344,2023-01-20 11:09:06.402654,180697336,0.01370383,0.01039386,0.01351276,0.01954228,0.05244769
8374,2023-01-20 11:09:06.502635,180797309,0.01493576,0.01165833,0.01316471,0.02119906,0.04488552
