LineNo,UTC_Approx,TimeUS,IMU,VibeX,VibeY,VibeZ,Clip
10450,2023-01-20 11:09:12.882960,187197334,0,10.10981,7.457609,7.673564,0
10481,2023-01-20 11:09:12.982862,187297243,0,9.39647,8.555888,5.938943,0
10513,2023-01-20 11:09:13.082851,187397239,0,7.806938,8.735517,4.505401,0
10545,2023-01-20 11:09:13.182939,187497334,0,6.448668,7.286137,3.26283,0
10578,2023-01-20 11:09:13.282837,187597223,0,7.526521,7.548227,2.650255,0
10611,2023-01-20 11:09:13.383000,187697374,0,6.997251,6.367086,3.326228,0
10643,2023-01-20 11:09:13.482837,187797233,0,5.228361,5.812756,3.373573,0
10674,2023-01-20 11:09:13.582810,187897235,0,5.093568,5.508037,4.094441,0
10706,2023-01-20 11:09:13.682921,187997331,0,5.626414,5.859607,3.603953,0
10739,2023-01-20 11:09:13.782844,188097230,0,6.76848,6.607455,4.177368,0
10773,2023-01-20 11:09:13.882968,188197346,0,7.278114,7.786887,3.991235,0
10804,2023-01-20 11:09:13.982872,188297246,0,9.545769,6.970357,5.002628,0
10836,2023-01-20 11:09:14.082852,188397234,0,10.89977,6.598731,4.992189,0
10868,2023-01-20 11:09:14.182970,188497362,0,10.19515,6.97252,6.733208,0
10902,2023-01-20 11:09:14.282864,188597250,0,11.86595,6.728449,7.048713,0
10936,2023-01-20 11:09:14.382945,188697322,0,10.80499,7.951147,6.951773,0
10968,2023-01-20 11:09:14.482831,188797231,0,9.948456,10.20589,7.340969,0
10999,2023-01-20 11:09:14.582812,188897241,0,9.698143,10.12632,5.815491,0
11031,2023-01-20 11:09:14.682912,188997321,0,9.488997,10.26412,5.639019,0
11064,2023-01-20 11:09:14.782847,189097225,0,8.894608,10.6628,7.813579,0
11098,2023-01-20 11:09:14.882945,189197335,0,9.496217,9.16546,6.871622,0
11129,2023-01-20 11:09:14.982923,189297333,0,10.00022,9.154523,6.453125,0
11161,2023-01-20 11:09:15.082822,189397227,0,14.01108,8.370666,6.754384,0
11193,2023-01-20 11:09:15.182912,189497307,0,13.07717,8.200143,8.360209,0
11226,2023-01-20 11:09:15.282847,189597225,0,10.0703,9.339515,6.414821,0
11262,2023-01-20 11:09:15.382891,189697250,0,8.970109,10.68361,8.42448,0
11294,2023-01-20 11:09:15.482858,189797253,0,10.01147,8.630202,7.586945,0
11327,2023-01-20 11:09:15.582873,189897315,0,13.1518,6.861573,6.469513,0
11359,2023-01-20 11:09:15.682797,189997210,0,10.8134,7.072707,7.21544,0
11392,2023-01-20 11:09:15.782843,190097212,0,12.95077,8.588155,7.535769,0
11426,2023-01-20 11:09:15.882881,190197242,0,11.1424,8.907022,7.147522,0
11457,2023-01-20 11:09:15.982884,190297245,0,11.77627,8.659229,7.549259,0
11489,2023-01-20 11:09:16.082859,190397223,0,12.4274,8.808867,8.02673,0
11521,2023-01-20 11:09:16.182973,190497340,0,10.24816,10.05266,8.627789,0
11554,2023-01-20 11:09:16.282849,190597216,0,11.89719,8.856127,7.718944,0
11587,2023-01-20 11:09:16.382951,190697316,0,13.05423,8.654042,8.334306,0
11619,2023-01-20 11:09:16.482857,190797236,0,12.50532,8.176294,8.990376,0
11650,2023-01-20 11:09:16.582829,190897226,0,10.82647,8.211382,9.409399,0
11682,2023-01-20 11:09:16.682847,190997235,0,9.752961,8.671003,8.489249,0
11715,2023-01-20 11:09:16.782834,191097207,0,8.749699,9.726369,7.795084,0
11749,2023-01-20 11:09:16.882980,191197347,0,8.265514,9.415671,7.526706,0
11780,2023-01-20 11:09:16.982876,191297238,0,9.312008,8.754525,7.858976,0
11812,2023-01-20 11:09:17.082841,191397205,0,9.460917,8.650368,7.826258,0
11844,2023-01-20 11:09:17.182865,191497232,0,11.10463,8.301303,8.578991,0
11877,2023-01-20 11:09:17.282848,191597211,0,10.57221,10.62546,9.281689,0
11910,2023-01-20 11:09:17.382886,191697242,0,10.98544,11.22725,9.165694,0
11942,2023-01-20 11:09:17.482944,191797327,0,11.43621,10.01104,9.981604,0
11973,2023-01-20 11:09:17.582891,191897307,0,10.31622,8.533725,10.39493,0
12005,2023-01-20 11:09:17.682815,191997209,0,9.948029,9.064937,9.204988,0
12038,2023-01-20 11:09:17.782848,192097209,0,10.26065,9.551269,9.312403,0
12072,2023-01-20 11:09:17.882880,192197238,0,10.03883,9.249637,9.749119,0
12103,2023-01-20 11:09:17.982879,192297241,0,9.019929,9.777454,8.25241,0
12136,2023-01-20 11:09:18.082850,192397229,0,7.194825,9.711279,7.440721,0
12168,2023-01-20 11:09:18.182955,192497354,0,7.308958,8.963346,7.614142,0
12201,2023-01-20 11:09:18.275383,192597213,0,12.55547,9.085958,8.278378,0
12234,2023-01-20 11:09:18.366460,192697264,0,10.93815,9.170878,10.3651,0
12266,2023-01-20 11:09:18.463099,192797252,0,10.10581,8.111788,10.22694,0
12297,2023-01-20 11:09:18.563002,192897226,0,9.644051,8.85291,9.693476,0
12330,2023-01-20 11:09:18.662964,192997214,0,9.005224,11.82502,8.787484,0
12363,2023-01-20 11:09:18.763065,193097314,0,8.966159,12.60903,7.935318,0
12397,2023-01-20 11:09:18.863075,193197359,0,8.133289,11.50899,8.005268,0
12428,2023-01-20 11:09:18.962901,193297240,0,7.122607,11.78773,7.822758,0
12460,2023-01-20 11:09:19.062855,193397201,0,7.960289,11.29938,8.170078,0
12492,2023-01-20 11:09:19.162910,193497233,0,7.731242,12.07335,7.704311,0
12525,2023-01-20 11:09:19.262954,193597207,0,8.419165,12.17492,7.607847,0
12560,2023-01-20 11:09:19.363167,193697322,0,8.295131,11.84536,8.8909,0
12592,2023-01-20 11:09:19.463122,193797338,0,9.64734,12.5237,8.083874,0
12623,2023-01-20 11:09:19.562875,193897243,0,9.185472,11.81517,10.12061,0
12656,2023-01-20 11:09:19.662799,193997202,0,9.263283,10.55065,9.994592,0
