LineNo,UTC_Approx,TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng,Q1,Q2,Q3,Q4
6452,2023-01-20 11:09:00.602423,174897075,-7.43,4.16,169.73,745.83,39.804408,32.3787883,0.08688185,-0.0419475,-0.06124852,0.9934489
6482,2023-01-20 11:09:00.702447,174997067,-7.21,4.87,169.31,745.93,39.8044062,32.3787884,0.09016306,-0.04814024,-0.05867117,0.9930311
6518,2023-01-20 11:09:00.802485,175097074,-7.21,5.76,168.8,746.09,39.8044039,32.3787895,0.09403434,-0.05610393,-0.05762352,0.9923152
6550,2023-01-20 11:09:00.902557,175197170,-6.46,5.9,168.32,746.28,39.8044019,32.37879,0.09853513,-0.05685645,-0.05081486,0.9922076
6583,2023-01-20 11:09:01.002455,175297089,-3.64,6.69,168.09,746.51,39.8044001,32.3787904,0.1016324,-0.06138483,-0.02553676,0.9925979
6613,2023-01-20 11:09:01.102533,175397092,-0.64,7.69,167.93,746.47,39.8043982,32.3787908,0.1044847,-0.06735566,0.001456253,0.9922419
6648,2023-01-20 11:09:01.202905,175497392,1.48,8.8,167.75,746.47,39.8043966,32.3787921,0.107327,-0.0749244,0.02100372,0.9911741
6678,2023-01-20 11:09:01.302511,175597066,2.54,9.5,167.21,746.8,39.8043949,32.3787929,0.1127027,-0.07982258,0.0311796,0.9899264
6713,2023-01-20 11:09:01.402493,175697114,3.17,9.87,166.42,746.74,39.8043933,32.3787938,0.1200735,-0.08216824,0.03753649,0.9886464
6743,2023-01-20 11:09:01.502409,175797058,3.73,10.43,165.52,746.65,39.8043917,32.3787946,0.1283272,-0.0860868,0.04367919,0.9870225
6776,2023-01-20 11:09:01.602441,175897116,4.28,10.91,164.64,746.71,39.8043899,32.3787951,0.1363675,-0.08920465,0.04955245,0.9853887
6807,2023-01-20 11:09:01.702425,175997095,5,10.66,163.79,746.83,39.8043882,32.3787957,0.1441827,-0.08582457,0.05616594,0.9842209
6842,2023-01-20 11:09:01.802405,176097069,4.12,10.64,163.08,747.05,39.8043875,32.378796,0.1495999,-0.08643968,0.04908982,0.9837369
6874,2023-01-20 11:09:01.902455,176197115,2.54,10.48,162.31,747.23,39.8043863,32.3787965,0.155036,-0.08687335,0.03587626,0.9834275
6907,2023-01-20 11:09:02.002424,176297080,0.59,10.49,161.56,747.21,39.8043856,32.3787965,0.1599765,-0.08946934,0.0197978,0.9828584
6937,2023-01-20 11:09:02.102458,176397102,-0.57,10.13,161.18,747.25,39.8043846,32.3787967,0.1623401,-0.08800037,0.009481953,0.9827572
6972,2023-01-20 11:09:02.202790,176497422,-1.22,9.64,161.09,747.53,39.804384,32.3787974,0.162761,-0.08465425,0.003324184,0.9830216
7002,2023-01-20 11:09:02.302446,176597074,-1.38,9.16,160.83,747.52,39.8043831,32.3787978,0.1649744,-0.08075318,0.001435972,0.9829854
7037,2023-01-20 11:09:02.402478,176697104,-0.68,8.79,160.37,747.46,39.8043825,32.3787978,0.1694467,-0.07658239,0.007165758,0.9825332
7067,2023-01-20 11:09:02.502393,176797068,-0.02,8.58,159.94,747.61,39.8043819,32.3787979,0.1736061,-0.0737597,0.01282935,0.9819653
7100,2023-01-20 11:09:02.602346,176897068,0.28,8.37,159.61,747.57,39.8043826,32.3787986,0.1766132,-0.07139067,0.01534068,0.981568
7130,2023-01-20 11:09:02.702382,176997059,-0.24,7.6,159.13,747.75,39.8043825,32.3787989,0.1805283,-0.06557548,0.009922978,0.9813312
7165,2023-01-20 11:09:02.802446,177097079,-0.03,6.21,158.57,747.71,39.8043827,32.3787985,0.1855967,-0.05330205,0.009769321,0.9811307
7197,2023-01-20 11:09:02.902542,177197180,0.77,5.12,158.03,747.82,39.8043827,32.3787986,0.1906025,-0.04263258,0.01513579,0.9806243
7230,2023-01-20 11:09:03.002438,177297080,1.37,2.6,157.77,747.9,39.804383,32.378799,0.1929489,-0.02002678,0.01614318,0.9808716
7260,2023-01-20 11:09:03.102429,177397083,1.45,0.62,157.93,748.17,39.804383,32.3787993,0.1913814,-0.002943096,0.01352674,0.9814181
7295,2023-01-20 11:09:03.202564,177497229,1.84,-0.37,158.24,748.28,39.8043831,32.3787989,0.1885851,0.006249979,0.01521202,0.9819191
7325,2023-01-20 11:09:03.302403,177597073,1.6,-1.13,158.57,748.39,39.8043832,32.3787989,0.1856944,0.01231986,0.01191109,0.9824581
7360,2023-01-20 11:09:03.402436,177697110,1.23,-1.25,159.15,748.51,39.8043836,32.3787975,0.1807403,0.01274586,0.008600458,0.9834107
7390,2023-01-20 11:09:03.502414,177797087,0.36,-0.46,159.92,748.48,39.8043838,32.3787969,0.1742469,0.004539943,0.002456068,0.9846885
7423,2023-01-20 11:09:03.602394,177897066,0.08,0.37,160.39,748.49,39.8043828,32.3787966,0.1702352,-0.003093913,0.001320167,0.9853977
7454,2023-01-20 11:09:03.702424,177997083,-0.57,0.82,160.67,748.65,39.8043825,32.3787961,0.1677675,-0.007933756,-0.003781099,0.9857874
7489,2023-01-20 11:09:03.802422,178097069,-2.13,1.28,161.18,748.78,39.8043818,32.3787954,0.1631652,-0.01406688,-0.01653969,0.9863598
