LineNo,UTC_Approx,TimeUS,C,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23
164451,2023-01-20 11:16:59.401449,654696110,0,6.94726E-11,1.957307E-08,3.510412E-08,2.95926E-09,4.063022E-06,2.938662E-06,8.350643E-05,2.688562E-06,1.703146E-06,8.050528E-05,0,0
164613,2023-01-20 11:16:59.901485,655196085,0,6.949625E-11,1.956759E-08,3.511262E-08,2.963177E-09,4.064846E-06,2.938828E-06,8.348801E-05,2.688354E-06,1.702957E-06,8.048773E-05,0,0
164778,2023-01-20 11:17:00.401520,655696124,0,6.951372E-11,1.956368E-08,3.51211E-08,2.967718E-09,4.066999E-06,2.938995E-06,8.346492E-05,2.688109E-06,1.702803E-06,8.04663E-05,0,0
164942,2023-01-20 11:17:00.901472,656196076,0,6.953564E-11,1.955837E-08,3.512964E-08,2.971698E-09,4.068127E-06,2.939152E-06,8.345227E-05,2.687774E-06,1.702629E-06,8.045467E-05,0,0
165105,2023-01-20 11:17:01.401452,656696110,0,6.955436E-11,1.955438E-08,3.513813E-08,2.976145E-09,4.069143E-06,2.939292E-06,8.344018E-05,2.687365E-06,1.702478E-06,8.044369E-05,0,0
165268,2023-01-20 11:17:01.901464,657196085,0,6.956674E-11,1.954909E-08,3.514646E-08,2.980055E-09,4.070692E-06,2.939431E-06,8.342879E-05,2.687263E-06,1.702346E-06,8.043299E-05,0,0
165432,2023-01-20 11:17:02.401518,657696129,0,6.958546E-11,1.954559E-08,3.515489E-08,2.984672E-09,4.071946E-06,2.939595E-06,8.34235E-05,2.687136E-06,1.702219E-06,8.042777E-05,0,0
165596,2023-01-20 11:17:02.901474,658196070,0,6.958675E-11,1.95405E-08,3.51632E-08,2.988585E-09,4.071962E-06,2.939726E-06,8.342321E-05,2.686773E-06,1.702087E-06,8.042681E-05,0,0
165758,2023-01-20 11:17:03.401514,658696129,0,6.959554E-11,1.953704E-08,3.517159E-08,2.993154E-09,4.071407E-06,2.939859E-06,8.342127E-05,2.686116E-06,1.701963E-06,8.042382E-05,0,0
165921,2023-01-20 11:17:03.901443,659196067,0,6.959518E-11,1.953202E-08,3.517986E-08,2.997093E-09,4.071709E-06,2.93999E-06,8.341938E-05,2.685756E-06,1.701844E-06,8.042198E-05,0,0
166084,2023-01-20 11:17:04.401505,659696115,0,6.960228E-11,1.952858E-08,3.518806E-08,3.001621E-09,4.072747E-06,2.940122E-06,8.341666E-05,2.685585E-06,1.701742E-06,8.041929E-05,0,0
166248,2023-01-20 11:17:04.901488,660196087,0,6.961227E-11,1.952409E-08,3.519621E-08,3.005674E-09,4.073021E-06,2.940274E-06,8.341362E-05,2.685161E-06,1.701634E-06,8.041655E-05,0,0
166460,2023-01-20 11:17:05.401481,660696110,0,6.963008E-11,1.952096E-08,3.520437E-08,3.010193E-09,4.073147E-06,2.940407E-06,8.340753E-05,2.68456E-06,1.701531E-06,8.04109E-05,0,0
166625,2023-01-20 11:17:05.901454,661196069,0,6.96412E-11,1.951675E-08,3.521234E-08,3.01405E-09,4.07242E-06,2.940507E-06,8.340445E-05,2.68389E-06,1.701415E-06,8.040618E-05,0,0
166786,2023-01-20 11:17:06.381962,661696105,0,6.966072E-11,1.951418E-08,3.522032E-08,3.018504E-09,4.072103E-06,2.940641E-06,8.339368E-05,2.683267E-06,1.701315E-06,8.039159E-05,0,0
166952,2023-01-20 11:17:06.881888,662196071,0,6.966292E-11,1.951071E-08,3.52281E-08,3.022248E-09,4.072027E-06,2.940762E-06,8.337705E-05,2.682689E-06,1.701204E-06,8.03711E-05,0,0
167115,2023-01-20 11:17:07.401371,662696115,0,6.968011E-11,1.950875E-08,3.523608E-08,3.02663E-09,4.07266E-06,2.940925E-06,8.336895E-05,2.682373E-06,1.701098E-06,8.036035E-05,0,0
167279,2023-01-20 11:17:07.881759,663196082,0,6.969201E-11,1.950592E-08,3.524402E-08,3.030238E-09,4.07353E-06,2.941102E-06,8.33654E-05,2.682191E-06,1.700995E-06,8.035534E-05,0,0
167440,2023-01-20 11:17:08.381857,663696102,0,6.970605E-11,1.950429E-08,3.525201E-08,3.034312E-09,4.074227E-06,2.941261E-06,8.336316E-05,2.681946E-06,1.700895E-06,8.03512E-05,0,0
167607,2023-01-20 11:17:08.881736,664196072,0,6.972373E-11,1.950217E-08,3.525988E-08,3.037726E-09,4.075563E-06,2.941442E-06,8.333367E-05,2.681523E-06,1.700806E-06,8.031851E-05,0,0
167768,2023-01-20 11:17:09.381725,664696097,0,6.973572E-11,1.950134E-08,3.526779E-08,3.041676E-09,4.076978E-06,2.941588E-06,8.329619E-05,2.680968E-06,1.70069E-06,8.027769E-05,0,0
167933,2023-01-20 11:17:09.881716,665196087,0,6.974367E-11,1.950015E-08,3.527569E-08,3.044926E-09,4.078365E-06,2.941709E-06,8.326383E-05,2.680524E-06,1.700571E-06,8.024266E-05,0,0
168093,2023-01-20 11:17:10.381693,665696080,0,6.976146E-11,1.950016E-08,3.528386E-08,3.048885E-09,4.080302E-06,2.941871E-06,8.324092E-05,2.680321E-06,1.700488E-06,8.021788E-05,0,0
168261,2023-01-20 11:17:10.881700,666196072,0,6.976577E-11,1.949963E-08,3.529204E-08,3.051979E-09,4.080895E-06,2.941975E-06,8.323376E-05,2.680029E-06,1.70037E-06,8.020909E-05,0,0
168422,2023-01-20 11:17:11.381691,666696076,0,6.978718E-11,1.950024E-08,3.530042E-08,3.055775E-09,4.08143E-06,2.942124E-06,8.322967E-05,2.679692E-06,1.700273E-06,8.020312E-05,0,0
168588,2023-01-20 11:17:11.881699,667196072,0,6.979528E-11,1.950033E-08,3.530864E-08,3.058691E-09,4.082305E-06,2.942244E-06,8.322605E-05,2.679491E-06,1.700187E-06,8.01981E-05,0,0
168748,2023-01-20 11:17:12.381683,667696071,0,6.98052E-11,1.950141E-08,3.531696E-08,3.062327E-09,4.083402E-06,2.942394E-06,8.322203E-05,2.679288E-06,1.700141E-06,8.019228E-05,0,0
168915,2023-01-20 11:17:12.881702,668196071,0,6.981378E-11,1.950229E-08,3.532522E-08,3.065276E-09,4.081199E-06,2.942538E-06,8.317974E-05,2.677628E-06,1.700071E-06,8.014406E-05,0,0
169076,2023-01-20 11:17:13.381701,668696086,0,7.039431E-11,1.950491E-08,3.533368E-08,3.068769E-09,4.080918E-06,2.942678E-06,8.310015E-05,2.675073E-06,1.700043E-06,8.005571E-05,0,0
169241,2023-01-20 11:17:13.881698,669196067,0,7.111975E-11,1.950747E-08,3.534207E-08,3.071367E-09,4.081162E-06,2.942496E-06,8.298584E-05,2.671822E-06,1.699918E-06,7.993297E-05,0,0
169401,2023-01-20 11:17:14.381705,669696074,0,7.159176E-11,1.95106E-08,3.535025E-08,3.074609E-09,4.069628E-06,2.941723E-06,8.25202E-05,2.659707E-06,1.699484E-06,7.945093E-05,0,0
169566,2023-01-20 11:17:14.881715,670196081,0,7.131761E-11,1.951251E-08,3.535739E-08,3.076567E-09,4.033168E-06,2.938748E-06,8.137468E-05,2.63016E-06,1.698093E-06,7.827955E-05,0,0
169724,2023-01-20 11:17:15.381752,670696097,0,7.113902E-11,1.951532E-08,3.536461E-08,3.079023E-09,4.007241E-06,2.935878E-06,8.058601E-05,2.609388E-06,1.696799E-06,7.747765E-05,0,0
169894,2023-01-20 11:17:15.868724,671196066,0,7.097575E-11,1.951823E-08,3.537152E-08,3.080464E-09,3.998093E-06,2.932643E-06,8.03441E-05,2.602419E-06,1.695495E-06,7.724224E-05,0,0
170053,2023-01-20 11:17:16.379728,671696085,0,7.096677E-11,1.952216E-08,3.537892E-08,3.08251E-09,3.995766E-06,2.931358E-06,8.027538E-05,2.600042E-06,1.694899E-06,7.717931E-05,0,0
170218,2023-01-20 11:17:16.861951,672196073,0,7.099594E-11,1.952658E-08,3.5386E-08,3.083166E-09,3.992828E-06,2.930226E-06,8.01955E-05,2.597235E-06,1.694342E-06,7.711162E-05,0,0
