LineNo,UTC_Approx,TimeUS,Active,NumPts,MaxPts,Action,N,E,D
29060,2023-01-20 11:10:09.492673,243927073,1,58,300,2,147.4101,201.3298,-48.77796
29061,2023-01-20 11:10:09.492686,243927086,1,58,300,2,148.9103,203.1883,-49.08101
29062,2023-01-20 11:10:09.492704,243927104,1,58,300,2,150.4114,205.0689,-49.35957
29063,2023-01-20 11:10:09.492717,243927117,1,58,300,2,151.8711,206.9398,-49.61514
29064,2023-01-20 11:10:09.492731,243927131,1,58,300,2,153.2533,208.7995,-49.86956
29065,2023-01-20 11:10:09.492744,243927144,1,58,300,2,154.6281,210.6834,-50.15406
29066,2023-01-20 11:10:09.492757,243927157,1,58,300,2,156.0122,212.5302,-50.4472
29067,2023-01-20 11:10:09.492773,243927173,1,58,300,2,157.3809,214.3549,-50.75637
29068,2023-01-20 11:10:09.492787,243927187,1,58,300,2,158.8176,216.1738,-51.06719
29069,2023-01-20 11:10:09.492823,243927223,1,58,300,2,160.1736,217.991,-51.38099
29070,2023-01-20 11:10:09.492837,243927237,1,58,300,2,161.5008,219.8345,-51.70629
29071,2023-01-20 11:10:09.492850,243927250,1,58,300,2,162.8724,221.7083,-52.05432
29072,2023-01-20 11:10:09.492917,243927317,1,58,300,2,164.3192,223.5936,-52.39653
29073,2023-01-20 11:10:09.492930,243927330,1,58,300,2,165.7728,225.4992,-52.69249
29074,2023-01-20 11:10:09.492946,243927346,1,58,300,2,167.1851,227.412,-52.9463
29075,2023-01-20 11:10:09.492959,243927359,1,58,300,2,168.5388,229.2703,-53.19645
29076,2023-01-20 11:10:09.492972,243927372,1,58,300,2,169.8684,231.1008,-53.46971
29077,2023-01-20 11:10:09.492985,243927385,1,58,300,2,171.2646,232.8994,-53.74529
29078,2023-01-20 11:10:09.492999,243927399,1,58,300,2,172.6509,234.6653,-53.99874
29079,2023-01-20 11:10:09.493012,243927412,1,58,300,2,173.9393,236.3485,-54.21764
29080,2023-01-20 11:10:09.493025,243927425,1,58,300,2,175.1932,237.916,-54.4339
29081,2023-01-20 11:10:09.493039,243927439,1,58,300,2,177.3821,240.4729,-54.83572
29082,2023-01-20 11:10:09.493052,243927452,1,58,300,2,176.1363,241.1381,-55.20825
29083,2023-01-20 11:10:09.493065,243927465,1,58,300,2,173.7106,239.8462,-55.11814
29084,2023-01-20 11:10:09.493079,243927479,1,58,300,2,171.3888,238.7765,-55.12507
29085,2023-01-20 11:10:09.493092,243927492,1,58,300,2,168.9959,237.5406,-55.2685
29086,2023-01-20 11:10:09.493108,243927508,1,58,300,2,166.9074,236.4703,-55.34958
29087,2023-01-20 11:10:09.493121,243927521,1,58,300,2,164.1447,234.9756,-55.4168
29088,2023-01-20 11:10:09.493134,243927534,1,58,300,2,160.9287,232.957,-55.52047
29089,2023-01-20 11:10:09.493148,243927548,1,58,300,2,159.1349,231.874,-55.55849
29195,2023-01-20 11:10:09.823374,244257761,1,11,300,0,155.3786,229.6304,-55.64391
29290,2023-01-20 11:10:10.154651,244589032,1,12,300,0,153.4563,228.4976,-55.68242
29419,2023-01-20 11:10:10.487107,244921531,1,13,300,0,151.4576,227.3628,-55.70604
