LineNo,UTC_Approx,TimeUS,LiftMax,BatVolt,ThLimit,ThrAvMx,FailFlags
8820,2023-01-20 11:09:07.902527,182197163,0.9499039,0.9692667,1,0.3625794,2
8853,2023-01-20 11:09:08.002476,182297124,0.9498856,0.9692553,1,0.3501581,2
8883,2023-01-20 11:09:08.102487,182397153,0.9499007,0.9692647,1,0.3559304,2
8918,2023-01-20 11:09:08.202456,182497139,0.9499395,0.9692888,1,0.3738467,2
8948,2023-01-20 11:09:08.302465,182597125,0.9497386,0.969164,1,0.3716905,2
8983,2023-01-20 11:09:08.402555,182697194,0.9494482,0.9689835,1,0.3644678,2
9013,2023-01-20 11:09:08.502449,182797119,0.9493461,0.9689202,1,0.3675196,2
9046,2023-01-20 11:09:08.602422,182897122,0.9492963,0.9688892,1,0.3759501,2
9076,2023-01-20 11:09:08.702450,182997118,0.9491696,0.9688105,1,0.3625028,2
9111,2023-01-20 11:09:08.802485,183097121,0.9491186,0.9687788,1,0.360373,2
9145,2023-01-20 11:09:08.902524,183197173,0.949071,0.9687492,1,0.3640559,2
9178,2023-01-20 11:09:09.002252,183297134,0.9490045,0.9687079,1,0.3717314,2
9208,2023-01-20 11:09:09.093303,183397087,0.9488296,0.9685992,1,0.3644855,2
9241,2023-01-20 11:09:09.184455,183497150,0.9487582,0.9685549,1,0.3817798,2
9274,2023-01-20 11:09:09.282901,183597127,0.9485934,0.9684525,1,0.3694459,2
9307,2023-01-20 11:09:09.382934,183697173,0.9484286,0.96835,1,0.3652976,2
9339,2023-01-20 11:09:09.482897,183797134,0.9484432,0.9683591,1,0.3739916,2
9370,2023-01-20 11:09:09.582894,183897127,0.9483863,0.9683236,1,0.3739243,2
9403,2023-01-20 11:09:09.682891,183997107,0.9482331,0.9682285,1,0.3814721,2
9437,2023-01-20 11:09:09.782923,184097119,0.9481032,0.9681477,1,0.3807752,2
9471,2023-01-20 11:09:09.882947,184197160,0.9480194,0.9680956,1,0.3847822,2
9502,2023-01-20 11:09:09.982916,184297152,0.9479393,0.9680458,1,0.3868299,2
9534,2023-01-20 11:09:10.082908,184397152,0.9477815,0.9679477,1,0.3730879,2
9566,2023-01-20 11:09:10.182895,184497143,0.9477738,0.9679429,1,0.3853753,2
9599,2023-01-20 11:09:10.282876,184597125,0.9476411,0.9678604,1,0.3720945,2
9632,2023-01-20 11:09:10.382933,184697183,0.9477046,0.9678999,1,0.3688905,2
9664,2023-01-20 11:09:10.482806,184797148,0.9475839,0.9678248,1,0.3802814,2
9697,2023-01-20 11:09:10.582804,184897257,0.9475195,0.9677848,1,0.3795957,2
9729,2023-01-20 11:09:10.682688,184997105,0.9474189,0.9677222,1,0.3654062,2
9762,2023-01-20 11:09:10.782874,185097224,0.9473865,0.9677021,1,0.3657848,2
9796,2023-01-20 11:09:10.882849,185197207,0.9472603,0.9676236,1,0.3609187,2
9827,2023-01-20 11:09:10.982864,185297244,0.9471445,0.9675516,1,0.3609016,2
9860,2023-01-20 11:09:11.082740,185397130,0.9471439,0.9675512,1,0.3636764,2
9892,2023-01-20 11:09:11.182855,185497253,0.9469971,0.9674599,1,0.3659912,2
9925,2023-01-20 11:09:11.282701,185597111,0.9469039,0.9674019,1,0.3857057,2
9958,2023-01-20 11:09:11.382926,185697351,0.946602,0.9672141,1,0.3663211,2
9989,2023-01-20 11:09:11.482689,185797113,0.9464799,0.9671382,1,0.365684,2
10020,2023-01-20 11:09:11.582815,185897235,0.946446,0.9671171,1,0.3629689,2
10052,2023-01-20 11:09:11.682751,185997154,0.9463931,0.9670842,1,0.3679537,2
10085,2023-01-20 11:09:11.782830,186097212,0.9463457,0.9670547,1,0.367763,2
10119,2023-01-20 11:09:11.882785,186197169,0.9461359,0.9669241,1,0.3616478,2
10150,2023-01-20 11:09:11.982830,186297219,0.9460326,0.9668598,1,0.3647399,2
10182,2023-01-20 11:09:12.082700,186397115,0.945984,0.9668296,1,0.3735757,2
10214,2023-01-20 11:09:12.182907,186497352,0.9458449,0.9667431,1,0.3653443,2
10247,2023-01-20 11:09:12.282680,186597103,0.9458027,0.9667168,1,0.3733744,2
10281,2023-01-20 11:09:12.382850,186697240,0.9457431,0.9666796,1,0.3608596,2
10313,2023-01-20 11:09:12.482773,186797176,0.9455955,0.9665878,1,0.3598483,2
10344,2023-01-20 11:09:12.582795,186897222,0.9455377,0.9665518,1,0.355177,2
10376,2023-01-20 11:09:12.682698,186997103,0.9455708,0.9665724,1,0.3527403,2
10409,2023-01-20 11:09:12.782836,187097210,0.9455103,0.9665348,1,0.3444733,2
10443,2023-01-20 11:09:12.882784,187197158,0.9455114,0.9665354,1,0.3244524,2
10474,2023-01-20 11:09:12.982735,187297116,0.9456762,0.966638,1,0.3106984,2
10506,2023-01-20 11:09:13.082726,187397114,0.9458596,0.9667522,1,0.3061091,2
10538,2023-01-20 11:09:13.182751,187497146,0.9462156,0.9669737,1,0.3158483,2
10571,2023-01-20 11:09:13.282717,187597103,0.9464071,0.9670929,1,0.3152324,2
10604,2023-01-20 11:09:13.382827,187697201,0.9465247,0.967166,1,0.3130927,2
10636,2023-01-20 11:09:13.482713,187797109,0.9466545,0.9672468,1,0.3183175,2
