LineNo,UTC_Approx,TimeUS,C,Cnt,IMUMin,IMUMax,EKFMin,EKFMax,AngMin,AngMax,VMin,VMax
155405,2023-01-20 11:16:31.961712,627196080,0,408,0.0025,0.0025,0.01248528,0.01251399,0.01103615,0.01304292,0.01103613,0.01304295
157074,2023-01-20 11:16:37.061710,632296070,0,408,0.0025,0.0025,0.0124856,0.01251405,0.01103613,0.01304292,0.0110361,0.01304288
158739,2023-01-20 11:16:42.141683,637396075,0,408,0.0025,0.0025,0.01248558,0.01251409,0.0110361,0.01304285,0.01103607,0.01304282
160407,2023-01-20 11:16:47.241713,642496076,0,408,0.0025,0.0025,0.01248555,0.01251413,0.01103605,0.01304285,0.01103602,0.01304282
162125,2023-01-20 11:16:52.321726,647596076,0,408,0.0025,0.0025,0.01248553,0.01251406,0.01103597,0.01304279,0.011036,0.01304277
163797,2023-01-20 11:16:57.401678,652696108,0,408,0.0025,0.0025,0.01248529,0.01251391,0.01103596,0.01304273,0.01103598,0.01304277
165464,2023-01-20 11:17:02.501458,657796083,0,408,0.0025,0.0025,0.01248534,0.01251409,0.01103596,0.01304268,0.01103597,0.01304269
167179,2023-01-20 11:17:07.583485,662896110,0,408,0.0025,0.0025,0.01248542,0.01251404,0.01103592,0.01304264,0.01103589,0.01304261
168847,2023-01-20 11:17:12.681664,667996095,0,408,0.0025,0.0025,0.01248518,0.01251402,0.01103589,0.01304266,0.01103587,0.0130426
170509,2023-01-20 11:17:17.779645,673096069,0,408,0.0025,0.0025,0.01248559,0.01251395,0.01103588,0.01304264,0.01103586,0.01304259
172176,2023-01-20 11:17:22.861703,678196079,0,408,0.0025,0.0025,0.01248539,0.01251395,0.01103582,0.01304253,0.01103588,0.01304257
173835,2023-01-20 11:17:27.941718,683296084,0,408,0.0025,0.0025,0.01248548,0.012514,0.01103582,0.01304252,0.01103584,0.01304256
175544,2023-01-20 11:17:33.041674,688396080,0,408,0.0025,0.0025,0.01248513,0.01251394,0.01103581,0.01304252,0.01103579,0.01304252
177211,2023-01-20 11:17:38.121701,693496067,0,408,0.0025,0.0025,0.01248546,0.01251393,0.01103575,0.01304251,0.01103578,0.01304249
178878,2023-01-20 11:17:43.221730,698596092,0,408,0.0025,0.0025,0.01248556,0.01251355,0.01103575,0.01304245,0.01103578,0.01304249
180547,2023-01-20 11:17:48.301438,703696080,0,408,0.0025,0.0025,0.01248528,0.01251385,0.01103576,0.01304248,0.0110358,0.01304251
182265,2023-01-20 11:17:53.401451,708796119,0,408,0.0025,0.0025,0.01248526,0.01251383,0.01103575,0.01304246,0.01103577,0.01304247
183934,2023-01-20 11:17:58.481696,713896076,0,408,0.0025,0.0025,0.0124854,0.01251386,0.01103575,0.01304245,0.01103572,0.01304244
185600,2023-01-20 11:18:03.581671,718996074,0,408,0.0025,0.0025,0.01248494,0.01251352,0.01103575,0.01304245,0.01103573,0.01304242
187320,2023-01-20 11:18:08.661680,724096102,0,408,0.0025,0.0025,0.01248506,0.01251351,0.01103575,0.01304245,0.01103573,0.01304245
188987,2023-01-20 11:18:13.761696,729196076,0,408,0.0025,0.0025,0.01248476,0.01251344,0.01103575,0.01304245,0.01103573,0.01304249
190657,2023-01-20 11:18:18.841708,734296078,0,408,0.0025,0.0025,0.01248491,0.01251341,0.01103578,0.01304252,0.01103579,0.01304252
